q[nm-1]	I(q)[sr-1]_DTAB_2wtpc_SDD1000_nmA_rebin_ave.h5_00001_[|]	error
7.60907000e-03	5.20377100e+00	4.15154100e-01
7.99386200e-03	5.50878100e+00	2.20905000e-01
8.37865400e-03	5.34939900e+00	1.56222400e-01
8.76344600e-03	5.11486100e+00	1.42215500e-01
9.14823800e-03	4.45234700e+00	1.13284800e-01
9.53303000e-03	4.06787300e+00	1.09395900e-01
9.91782200e-03	3.54340300e+00	9.91826700e-02
1.03026100e-02	3.13843000e+00	9.01046600e-02
1.06874100e-02	2.94156100e+00	8.87919200e-02
1.10722000e-02	2.73756800e+00	8.60236200e-02
1.14569900e-02	2.39720700e+00	7.57777000e-02
1.18417800e-02	2.25857500e+00	6.88766800e-02
1.22265700e-02	2.15405400e+00	6.98232300e-02
1.26113600e-02	1.95589900e+00	6.19311100e-02
1.29961600e-02	1.64948900e+00	5.77706500e-02
1.33809500e-02	1.61263800e+00	5.91420800e-02
1.37657400e-02	1.48549200e+00	5.09306600e-02
1.41505300e-02	1.34589500e+00	5.11098700e-02
1.45353200e-02	1.24607500e+00	1.11627800e+00
1.49201200e-02	1.28507100e+00	4.72632800e-02
1.53049100e-02	1.16344500e+00	4.38809200e-02
1.56897000e-02	1.04124000e+00	4.23362800e-02
1.60744900e-02	1.09113700e+00	4.23295700e-02
1.64592800e-02	1.08865900e+00	4.18823100e-02
1.68440700e-02	9.97260000e-01	3.92973600e-02
1.72288700e-02	9.14728600e-01	3.69034100e-02
1.76136600e-02	8.34727600e-01	3.60060700e-02
1.79984500e-02	8.38258200e-01	3.48173600e-02
1.83832400e-02	8.04346700e-01	3.40707700e-02
1.87680300e-02	8.32014500e-01	3.37192900e-02
1.91528300e-02	7.80178600e-01	3.34119400e-02
1.95376200e-02	7.41935900e-01	3.15998600e-02
1.99224100e-02	6.58226000e-01	2.89537700e-02
2.03072000e-02	6.71275400e-01	2.96897900e-02
2.06919900e-02	7.40168400e-01	3.16790500e-02
2.10767900e-02	6.62720500e-01	2.97142500e-02
2.14615800e-02	7.08485800e-01	3.12567200e-02
2.18463700e-02	6.28041300e-01	2.95688500e-02
2.22311600e-02	6.10796800e-01	2.76319900e-02
2.26159500e-02	6.19339200e-01	2.84000200e-02
2.30007400e-02	6.35707500e-01	2.88395900e-02
2.33855400e-02	5.38064400e-01	2.53591000e-02
2.37703300e-02	4.97957200e-01	2.44829000e-02
2.41551200e-02	5.58706600e-01	7.47466800e-01
2.45399100e-02	5.25293900e-01	2.50382600e-02
2.49247000e-02	5.64396300e-01	2.63167700e-02
2.53095000e-02	5.15514600e-01	2.55235800e-02
2.56942900e-02	4.99357200e-01	2.39685700e-02
2.60790800e-02	5.55684800e-01	2.59800900e-02
2.64638700e-02	5.20656800e-01	2.44641800e-02
2.68486600e-02	4.80149500e-01	2.27266400e-02
2.72334500e-02	5.03168700e-01	2.37769000e-02
2.76182500e-02	5.18063600e-01	2.44573600e-02
2.80030400e-02	4.38270700e-01	2.18917000e-02
2.83878300e-02	4.86655300e-01	2.26627100e-02
2.87726200e-02	4.54628700e-01	2.21268400e-02
2.91574100e-02	4.58379500e-01	2.20366000e-02
2.95422100e-02	4.28273400e-01	2.17340800e-02
2.99270000e-02	4.97648300e-01	2.29738100e-02
3.03117900e-02	4.27175200e-01	2.10235600e-02
3.06965800e-02	4.76994700e-01	2.25499000e-02
3.10813700e-02	4.67319400e-01	2.19116700e-02
3.14661600e-02	4.38580400e-01	2.14465900e-02
3.18509600e-02	4.53873700e-01	2.12368300e-02
3.22357500e-02	4.20188700e-01	2.01141500e-02
3.26205400e-02	4.47043800e-01	2.15697700e-02
