q[nm-1]	I(q)[sr-1]_LUV_SDD_700_mult_sub_nmA_rebin_ave.h5_00001_[|]	error
1.09578700e-02	2.30929400e-01	3.76846244e-01
1.14971800e-02	7.15864100e-01	2.33635172e-01
1.20364900e-02	5.88333700e-01	1.72260915e-01
1.25758000e-02	3.06080900e-01	1.42418259e-01
1.31151000e-02	3.51567200e-01	1.12767844e-01
1.36544100e-02	3.49609000e-01	9.67576604e-02
1.41937200e-02	1.77625200e-01	8.79715896e-02
1.47330300e-02	1.82537100e-01	8.32337973e-02
1.52723400e-02	3.48580700e-01	7.61652346e-02
1.58116400e-02	3.38896300e-01	7.17626234e-02
1.63509500e-02	2.77224900e-01	6.50016599e-02
1.68902600e-02	1.34252410e-01	5.91270676e-02
1.74295700e-02	1.92923890e-01	9.02705435e-01
1.79688800e-02	1.29812170e-01	5.40669557e-02
1.85081900e-02	1.47680840e-01	9.80808309e-01
1.90474900e-02	1.48426450e-01	9.61058749e-01
1.95868000e-02	1.73240880e-01	9.58777217e-01
2.01261100e-02	1.03842720e-01	4.55722419e-02
2.06654200e-02	1.18583200e-01	9.03996957e-01
2.12047300e-02	4.50969500e-02	1.08652316e+00
2.17440300e-02	1.53181420e-01	3.93386993e-02
2.22833400e-02	3.74155700e-02	3.97465386e-02
2.28226500e-02	1.00375810e-01	3.88202214e-02
2.33619600e-02	1.39285180e-01	3.72608024e-02
2.39012700e-02	8.05680400e-02	3.53485604e-02
2.44405700e-02	1.13445560e-01	3.55074761e-02
2.49798800e-02	8.98490000e-02	3.35610623e-02
2.55191900e-02	1.19270670e-01	3.38663610e-02
2.60585000e-02	5.35503500e-02	3.24093129e-02
2.65978100e-02	1.64859620e-01	3.21068753e-02
2.71371100e-02	1.28087110e-01	3.23577925e-02
2.76764200e-02	8.31071800e-02	3.12865179e-02
2.82157300e-02	1.29147850e-01	3.13808183e-02
2.87550400e-02	1.04134010e-01	3.00731298e-02
2.92943500e-02	1.19900810e-01	3.05840612e-02
2.98336500e-02	1.23422180e-01	2.91834164e-02
3.03729600e-02	1.06370500e-01	2.91600702e-02
3.09122700e-02	1.25377490e-01	3.02405561e-02
3.14515800e-02	1.06033010e-01	2.85922779e-02
3.19908900e-02	1.25780800e-01	2.82594662e-02
3.25301900e-02	7.38762600e-02	2.77064714e-02
3.30695000e-02	1.10427370e-01	2.81499629e-02
3.36088100e-02	1.49191940e-01	2.69158572e-02
3.41481200e-02	1.33274460e-01	2.77080933e-02
3.46874300e-02	6.47631200e-02	2.68063847e-02
3.52267300e-02	1.44212130e-01	2.75139095e-02
3.57660400e-02	1.19305030e-01	8.66630426e-01
3.63053500e-02	1.18957030e-01	2.67560382e-02
3.68446600e-02	1.69159800e-01	2.64130462e-02
3.73839700e-02	1.79725630e-01	2.54587891e-02
3.79232800e-02	1.69642230e-01	2.60564952e-02
3.84625800e-02	1.60564160e-01	2.57003108e-02
3.90018900e-02	1.40315830e-01	2.54619587e-02
3.95412000e-02	1.35025430e-01	2.57261026e-02
4.00805100e-02	1.79937970e-01	4.87877496e-01
4.06198200e-02	1.64507290e-01	2.47786589e-02
4.11591200e-02	1.23769690e-01	5.43323427e-01
4.16984300e-02	1.30565630e-01	8.49729298e-01
4.22377400e-02	1.66088040e-01	2.54461096e-02
4.27770500e-02	1.97581400e-01	4.73084486e-01
4.33163600e-02	1.31485280e-01	2.51773137e-02
4.38556600e-02	1.81889110e-01	4.62664192e-01
4.43949700e-02	1.49434310e-01	2.31266698e-02
4.49342800e-02	1.89997780e-01	2.44994770e-02
4.54735900e-02	1.83642810e-01	2.44489017e-02
4.60129000e-02	1.90921590e-01	2.40968824e-02
4.65522000e-02	1.89365260e-01	2.35721969e-02
4.70915100e-02	1.76039540e-01	2.37899195e-02
4.76308200e-02	1.91778240e-01	2.34061138e-02
4.81701300e-02	1.67401880e-01	2.30253719e-02
4.87094400e-02	2.27195370e-01	2.28927614e-02
4.92487400e-02	1.74820780e-01	2.38688570e-02
4.97880500e-02	1.77136930e-01	2.34537953e-02
5.03273600e-02	2.29041880e-01	2.37180479e-02
5.08666700e-02	2.11798090e-01	2.28770030e-02
5.14059800e-02	1.81579330e-01	2.23115300e-02
5.19452800e-02	1.73269660e-01	2.28673325e-02
5.24845900e-02	2.08798690e-01	2.26223165e-02
5.30239000e-02	1.86331810e-01	2.29589782e-02
5.35632100e-02	2.16476650e-01	2.24047924e-02
5.41025200e-02	2.17347720e-01	2.27355279e-02
5.46418300e-02	2.26199460e-01	2.24287364e-02
5.51811300e-02	2.02501350e-01	2.25349316e-02
5.57204400e-02	2.11759520e-01	2.25727639e-02
5.62597500e-02	2.27388480e-01	2.16687941e-02
5.67990600e-02	2.50217530e-01	2.22577506e-02
5.73383700e-02	2.19128990e-01	2.19194282e-02
5.78776700e-02	2.09199220e-01	2.21666499e-02
5.84169800e-02	2.02580060e-01	2.15135241e-02
5.89562900e-02	1.97054630e-01	2.10792476e-02
5.94956000e-02	2.01067290e-01	2.13187020e-02
6.00349100e-02	2.30521340e-01	2.15455847e-02
6.05742100e-02	2.28780420e-01	2.18543847e-02
6.11135200e-02	2.21948330e-01	2.14891784e-02
6.16528300e-02	2.26888550e-01	2.07241496e-02
6.21921400e-02	2.83372740e-01	2.19623590e-02
6.27314500e-02	2.57627360e-01	2.13763190e-02
6.32707500e-02	2.62192210e-01	2.15083716e-02
6.38100600e-02	2.21187940e-01	2.06251616e-02
6.43493700e-02	2.37138960e-01	2.11485537e-02
6.48886800e-02	2.58361700e-01	4.69651478e-01
6.54279900e-02	2.24586620e-01	2.16727300e-02
6.59672900e-02	2.39463470e-01	2.08748171e-02
6.65066000e-02	2.44393810e-01	2.06060996e-02
6.70459100e-02	2.18646390e-01	2.02142222e-02
6.75852200e-02	2.39808530e-01	2.08973167e-02
6.81245300e-02	2.47783650e-01	2.04219055e-02
6.86638300e-02	2.12082020e-01	2.07035469e-02
6.92031400e-02	2.44619060e-01	2.02628780e-02
7.02817600e-02	2.44456250e-01	1.17173118e-02
7.18996800e-02	2.31703863e-01	1.61525366e-01
7.35176100e-02	2.57877643e-01	1.14060680e-02
7.51355300e-02	2.60190333e-01	1.15185153e-02
7.67534600e-02	2.65435240e-01	1.14622112e-02
7.83713800e-02	2.44459670e-01	1.13296837e-02
7.99893000e-02	2.53955770e-01	1.11051501e-02
8.16072300e-02	2.52984897e-01	1.10629358e-02
8.32251500e-02	2.64852050e-01	1.09680187e-02
8.48430800e-02	3.00027547e-01	1.10059663e-02
8.64610000e-02	2.68849490e-01	1.07577653e-02
8.80789300e-02	2.64929667e-01	1.06037901e-02
8.96968500e-02	2.74353740e-01	1.06554177e-02
9.13147700e-02	2.81033653e-01	1.04436580e-02
9.29327000e-02	2.62485843e-01	1.04407909e-02
9.50899300e-02	2.57291856e-01	7.87043808e-03
9.77864700e-02	2.55666460e-01	7.80437867e-03
1.00483000e-01	2.53776732e-01	9.18482188e-02
1.03179600e-01	2.48511602e-01	7.49108171e-03
1.05876100e-01	2.42109972e-01	7.39676768e-03
1.08572600e-01	2.34721510e-01	1.54487767e-01
1.11269200e-01	2.21771990e-01	1.34772596e-01
1.13965700e-01	2.26957338e-01	9.06490221e-02
1.16662300e-01	2.06475858e-01	1.26605010e-01
