q[nm-1]	I(q)[sr-1]_SDS_2wtpc_SDD_1000_mult_sub_nmA_rebin_ave.h5_00001_[|]	error
7.60907000e-03	1.08825220e+00	6.20323605e-01
7.99386200e-03	3.82141000e-01	2.81582682e-01
8.37865400e-03	7.73675200e-01	2.11920060e-01
8.76344600e-03	4.54952000e-01	1.75399682e-01
9.14823800e-03	5.59666600e-01	1.60061047e-01
9.53303000e-03	5.85696600e-01	1.41509384e-01
9.91782200e-03	3.06329000e-01	1.26870180e-01
1.03026100e-02	5.47550000e-02	1.18089041e-01
1.06874100e-02	4.77502400e-01	1.07833814e-01
1.10722000e-02	3.88381800e-01	1.05000508e-01
1.14569900e-02	2.08040000e-01	9.83241386e-02
1.18417800e-02	4.39658400e-01	9.06934862e-02
1.22265700e-02	1.54642600e-01	8.46786390e-02
1.26113600e-02	2.87539000e-01	7.98437829e-02
1.29961600e-02	1.53387000e-01	7.50167208e-02
1.33809500e-02	4.44294500e-01	7.01750388e-02
1.37657400e-02	4.03640900e-01	6.83103058e-02
1.41505300e-02	2.38570120e-01	6.43814894e-02
1.45353200e-02	3.69480960e-01	1.37590986e+00
1.49201200e-02	3.05228140e-01	5.58297764e-02
1.53049100e-02	2.83627040e-01	5.57261757e-02
1.56897000e-02	2.04889360e-01	5.29878054e-02
1.60744900e-02	1.19089140e-01	4.95915630e-02
1.64592800e-02	2.79377080e-01	5.03128197e-02
1.68440700e-02	2.08331520e-01	4.70425789e-02
1.72288700e-02	1.80669200e-01	4.44797558e-02
1.76136600e-02	1.87434060e-01	4.34161368e-02
1.79984500e-02	2.05702740e-01	4.41578982e-02
1.83832400e-02	2.40123600e-01	4.26364856e-02
1.87680300e-02	9.72026600e-02	4.02742119e-02
1.91528300e-02	1.66428420e-01	3.86894710e-02
1.95376200e-02	1.81477700e-01	3.88103792e-02
1.99224100e-02	1.39566120e-01	3.77541226e-02
2.03072000e-02	1.59217780e-01	3.57136318e-02
2.06919900e-02	1.27239180e-01	3.61147945e-02
2.10767900e-02	1.53681540e-01	3.44006353e-02
2.14615800e-02	1.61009040e-01	3.50925407e-02
2.18463700e-02	1.85874540e-01	3.65107833e-02
2.22311600e-02	1.49063420e-01	3.53064674e-02
2.26159500e-02	1.22238680e-01	3.42627313e-02
2.30007400e-02	1.03166180e-01	3.29483224e-02
2.33855400e-02	1.08267780e-01	3.05640759e-02
2.37703300e-02	8.87450800e-02	3.03157935e-02
2.41551200e-02	1.66848020e-01	9.10358679e-01
2.45399100e-02	2.48368480e-01	2.97011476e-02
2.49247000e-02	1.89126180e-01	3.01574950e-02
2.53095000e-02	1.42131940e-01	2.98614488e-02
2.56942900e-02	1.70851980e-01	2.96961259e-02
2.60790800e-02	1.22776880e-01	2.78261090e-02
2.64638700e-02	1.55501460e-01	2.87657746e-02
