q[nm-1]	I(q)[sr-1]_SDS_DTAB_4to1_SDD_1000_sub_nmA_rebin_ave.h5_00001_[|]	error
7.60907000e-03	1.32520900e+00	6.00251437e-01
7.99386200e-03	2.28442000e+00	2.92730759e-01
8.37865400e-03	1.50652200e+00	2.05510400e-01
8.76344600e-03	1.14062200e+00	1.76339002e-01
9.14823800e-03	1.05884300e+00	1.55037186e-01
9.53303000e-03	1.29127900e+00	1.42874190e-01
9.91782200e-03	1.06090800e+00	1.32765119e-01
1.03026100e-02	9.01521000e-01	1.24202947e-01
1.06874100e-02	8.79243000e-01	1.10093169e-01
1.10722000e-02	7.13924000e-01	1.03284946e-01
1.14569900e-02	5.58099000e-01	9.62554753e-02
1.18417800e-02	7.78215000e-01	1.50875321e+00
1.22265700e-02	5.11989000e-01	8.55213330e-02
1.26113600e-02	5.60696000e-01	8.08738392e-02
1.29961600e-02	6.18112000e-01	7.84663594e-02
1.33809500e-02	6.22837700e-01	7.19064790e-02
1.37657400e-02	5.85313100e-01	6.65320050e-02
1.41505300e-02	4.76588600e-01	6.72888548e-02
1.45353200e-02	5.69135400e-01	1.37371371e+00
1.49201200e-02	4.67701300e-01	5.73657287e-02
1.53049100e-02	4.74406200e-01	5.51861829e-02
1.56897000e-02	3.22352000e-01	5.25202131e-02
1.60744900e-02	3.31661500e-01	5.10322640e-02
1.64592800e-02	4.19154900e-01	5.08769803e-02
1.68440700e-02	3.09655400e-01	4.68426892e-02
1.72288700e-02	2.43745900e-01	4.44650368e-02
1.76136600e-02	2.72927800e-01	4.30916379e-02
1.79984500e-02	2.94868200e-01	4.29873608e-02
1.83832400e-02	2.66638500e-01	4.05694314e-02
1.87680300e-02	1.30331200e-01	3.95153219e-02
1.91528300e-02	1.50751800e-01	3.70298231e-02
1.95376200e-02	2.28561500e-01	3.81303599e-02
1.99224100e-02	2.25198900e-01	3.82301447e-02
2.03072000e-02	2.17771700e-01	3.52269288e-02
2.06919900e-02	1.87261300e-01	3.60595123e-02
2.10767900e-02	2.50083500e-01	3.46660336e-02
2.14615800e-02	2.09096000e-01	3.45472623e-02
2.18463700e-02	2.12794700e-01	3.46556224e-02
2.22311600e-02	1.32673700e-01	3.33233735e-02
2.26159500e-02	1.88818100e-01	3.36544523e-02
2.30007400e-02	1.26578200e-01	3.21315962e-02
2.33855400e-02	1.65380300e-01	3.04444834e-02
2.37703300e-02	1.09768600e-01	2.95647682e-02
2.41551200e-02	1.25652500e-01	8.34894257e-01
2.45399100e-02	2.03860100e-01	2.72252451e-02
2.49247000e-02	1.58629700e-01	2.84450272e-02
2.53095000e-02	1.31655300e-01	6.25189198e-01
2.56942900e-02	1.48616100e-01	2.73633144e-02
2.60790800e-02	2.01560200e-01	2.82236192e-02
2.64638700e-02	1.54583200e-01	2.72237610e-02
2.68486600e-02	1.34186000e-01	2.63540529e-02
2.72334500e-02	1.89399200e-01	2.64729982e-02
2.76182500e-02	9.36799000e-02	2.54042480e-02
2.80030400e-02	1.11632300e-01	2.49063420e-02
2.83878300e-02	1.28373400e-01	4.38911841e-01
2.87726200e-02	1.49404500e-01	2.53046328e-02
2.91574100e-02	1.60344700e-01	2.41755917e-02
2.95422100e-02	1.10831500e-01	2.42597478e-02
2.99270000e-02	1.28264100e-01	2.46566170e-02
3.03117900e-02	1.46380400e-01	2.51427384e-02
3.06965800e-02	1.62079300e-01	2.27310785e-02
3.10813700e-02	1.02374600e-01	2.25794330e-02
3.14661600e-02	7.24076000e-02	2.23632940e-02
3.18509600e-02	9.47606000e-02	2.22930760e-02
3.22357500e-02	9.25069000e-02	2.15530471e-02
3.26205400e-02	9.86888000e-02	2.16015733e-02
3.30053300e-02	7.55191000e-02	2.13880798e-02
3.33901200e-02	6.30400000e-02	2.10044302e-02
3.37749200e-02	1.42297400e-01	2.17350403e-02
3.41597100e-02	8.53089000e-02	2.02848949e-02
3.45445000e-02	1.12747800e-01	2.06829118e-02
3.49292900e-02	5.21650000e-02	1.95939327e-02
3.53140800e-02	1.17915900e-01	2.05474379e-02
3.56988800e-02	1.06945000e-01	2.06359813e-02
3.60836700e-02	1.05778500e-01	1.99007917e-02
3.64684600e-02	8.43534000e-02	1.95020828e-02
3.68532500e-02	9.47633000e-02	1.89827573e-02
3.72380400e-02	5.88890000e-02	1.96208987e-02
3.76228300e-02	6.28809000e-02	1.96365436e-02
3.80076300e-02	5.02273000e-02	2.01560045e-02
3.83924200e-02	8.75005000e-02	2.00340172e-02
3.87772100e-02	8.49212000e-02	1.93533931e-02
3.91620000e-02	7.74337000e-02	1.78805810e-02
3.95467900e-02	9.17495000e-02	1.91180496e-02
3.99315900e-02	7.29016000e-02	1.80918627e-02
4.03163800e-02	9.61515000e-02	1.85187421e-02
4.07011700e-02	5.86829000e-02	1.74291013e-02
4.10859600e-02	7.83743000e-02	1.76868372e-02
4.14707500e-02	5.63534000e-02	1.66882757e-02
4.18555400e-02	9.05153000e-02	1.82531512e-02
4.22403400e-02	7.74087000e-02	1.82034482e-02
4.26251300e-02	8.28483000e-02	1.84584403e-02
4.30099200e-02	7.15423000e-02	1.82528268e-02
4.33947100e-02	7.04157000e-02	1.66763093e-02
