q[nm-1]	I(q)[sr-1]_mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)	error
0.00000000e+00	0.00000000e+00	0.00000000e+00
0.00000000e+00	2.44999930e+02	0.00000000e+00
2.26117100e-01	1.14355640e+01	4.89565090e-01
2.36095900e-01	1.01658620e+01	3.68819360e-01
2.46074800e-01	8.41905400e+00	2.08404840e-01
2.56053600e-01	7.49347900e+00	1.67337520e-01
2.66032500e-01	6.93357350e+00	1.38967780e-01
2.76011300e-01	6.64483120e+00	1.22988600e-01
2.85990200e-01	6.19937850e+00	1.04226990e-01
2.95969000e-01	5.65554920e+00	9.57534200e-02
3.05947900e-01	5.58816160e+00	8.66854100e-02
3.15926800e-01	5.18504350e+00	8.55932700e-02
3.25905600e-01	4.91885520e+00	8.06326500e-02
3.35884500e-01	4.73578630e+00	7.65073400e-02
3.45863300e-01	4.46352410e+00	7.55150900e-02
3.55842200e-01	4.35568280e+00	7.04863600e-02
3.65821000e-01	4.20550340e+00	6.93886340e-02
3.75799900e-01	4.10867730e+00	6.75912160e-02
3.85778700e-01	4.01198000e+00	6.49948600e-02
3.95757600e-01	3.81037230e+00	6.30812910e-02
4.05736400e-01	3.84938750e+00	6.18576770e-02
4.15715300e-01	3.72905680e+00	6.22625290e-02
4.25694100e-01	3.64089250e+00	4.76948150e+00
4.35673000e-01	3.58768620e+00	4.73450390e+00
4.45651900e-01	3.52221100e+00	4.69110250e+00
4.55630700e-01	3.41729430e+00	5.51424370e-02
4.65609600e-01	3.46902570e+00	4.65554950e+00
4.75588400e-01	3.38492000e+00	4.59876690e+00
4.85567300e-01	3.38736930e+00	4.60043080e+00
4.95546100e-01	3.39781120e+00	4.60751620e+00
5.05525000e-01	3.31594550e+00	5.23238520e-02
5.15503800e-01	3.19014500e+00	5.16718370e-02
5.25482700e-01	3.24698080e+00	5.08329010e-02
5.35461500e-01	3.18706290e+00	5.04736750e-02
5.45440400e-01	3.11845170e+00	4.99722020e-02
5.55419200e-01	3.11267530e+00	4.82250720e-02
5.65398100e-01	3.07767180e+00	4.94465930e-02
5.75376900e-01	3.08289730e+00	4.84855140e-02
5.85355800e-01	3.04738560e+00	4.78945180e-02
5.95334700e-01	3.16965110e+00	4.77187830e-02
6.05313500e-01	3.00228670e+00	4.53932710e-02
6.15292400e-01	3.06770660e+00	4.79467310e-02
6.25271200e-01	2.95401540e+00	4.64012150e-02
6.35250100e-01	3.00658120e+00	4.56926680e-02
6.45228900e-01	2.94473270e+00	4.60345060e-02
6.55207800e-01	2.90458210e+00	4.47515530e-02
6.65186600e-01	2.93402270e+00	4.71366490e-02
6.75165500e-01	2.97354050e+00	4.48268590e-02
6.85144300e-01	2.94993370e+00	4.53739300e-02
6.95123200e-01	2.88734950e+00	4.39112170e-02
7.05102000e-01	2.82350740e+00	4.40005650e-02
7.15080900e-01	2.84536630e+00	4.39691140e-02
7.25059700e-01	2.86032810e+00	4.22741760e+00
7.35038600e-01	2.90038560e+00	4.25691630e+00
7.45017500e-01	2.89698290e+00	4.25441870e+00
7.54996300e-01	2.88621830e+00	4.44417470e-02
7.64975200e-01	2.87224770e+00	4.27948990e-02
7.74954000e-01	2.80524650e+00	4.21426040e-02
7.84932900e-01	2.77959010e+00	4.14394190e-02
7.94911700e-01	2.77201750e+00	4.12490610e-02
8.04890600e-01	2.82425640e+00	4.24989670e-02
8.14869400e-01	2.76658480e+00	4.08097270e-02
8.24848300e-01	2.76821930e+00	4.16512670e-02
8.34827100e-01	2.74968190e+00	4.11607770e-02
8.44806000e-01	2.77940320e+00	4.03105150e-02
8.54784800e-01	2.76038420e+00	4.03939200e-02
8.64763700e-01	2.77002180e+00	4.00413230e-02
8.74742600e-01	2.70913720e+00	3.95167990e-02
8.84721400e-01	2.75817920e+00	4.01002840e-02
8.94700300e-01	2.73880810e+00	3.98514690e-02
9.04679100e-01	2.74099840e+00	3.98781880e-02
9.14658000e-01	2.73482860e+00	3.83640600e-02
9.24636800e-01	2.67067360e+00	3.88121090e-02
9.34615700e-01	2.73149940e+00	3.90920390e-02
9.44594500e-01	2.75081380e+00	3.88692500e-02
9.54573400e-01	2.70687480e+00	3.88591980e-02
9.64552200e-01	2.73747880e+00	3.78235830e-02
9.74531100e-01	2.73164220e+00	3.87441250e-02
9.84509900e-01	2.67000370e+00	4.08435160e+00
9.94488800e-01	2.69184510e+00	4.10102350e+00
1.00446800e+00	2.68691500e+00	3.79994790e-02
1.01444700e+00	2.66988680e+00	4.08426270e+00
1.02442500e+00	2.68331630e+00	4.09452190e+00
1.03440400e+00	2.69850770e+00	4.10609570e+00
