q[nm-1]	I(q)[sr-1]_mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)	error
2.26117100e-01	4.25713200e+01	3.03874200e+00
2.36095900e-01	3.13356150e+01	2.63538000e+00
2.46074800e-01	3.70301100e+01	1.56045000e+00
2.56053600e-01	3.74901600e+01	1.25974185e+00
2.66032500e-01	3.67266600e+01	1.21378080e+00
2.76011300e-01	3.44925600e+01	9.69521100e-01
2.85990200e-01	3.35053650e+01	8.56122300e-01
2.95969000e-01	3.15624750e+01	7.69875750e-01
3.05947900e-01	3.30675150e+01	7.29909300e-01
3.15926800e-01	3.15056400e+01	7.35610650e-01
3.25905600e-01	3.14109600e+01	7.15090050e-01
3.35884500e-01	3.09721800e+01	6.99560250e-01
3.45863300e-01	3.11844000e+01	6.92935050e-01
3.55842200e-01	3.16455600e+01	6.74801250e-01
3.65821000e-01	3.11331600e+01	6.59176950e-01
3.75799900e-01	2.99593650e+01	6.05677950e-01
3.85778700e-01	2.94163500e+01	6.26067300e-01
3.95757600e-01	2.86704750e+01	5.62708800e-01
4.05736400e-01	2.89329150e+01	5.77227750e-01
4.15715300e-01	2.93880600e+01	6.09807900e-01
4.25694100e-01	2.84383800e+01	1.90231950e+01
4.35673000e-01	2.94544200e+01	1.93600350e+01
4.45651900e-01	2.82185100e+01	1.89495150e+01
4.55630700e-01	2.77245150e+01	5.50036950e-01
4.65609600e-01	2.77077600e+01	1.87772400e+01
4.75588400e-01	2.83588500e+01	1.89965700e+01
4.85567300e-01	2.71704000e+01	1.85942700e+01
4.95546100e-01	2.63319900e+01	1.83051300e+01
5.05525000e-01	2.67824100e+01	5.04525150e-01
5.15503800e-01	2.69989650e+01	5.11906200e-01
5.25482700e-01	2.65114950e+01	5.12385450e-01
5.35461500e-01	2.66938350e+01	4.86808500e-01
5.45440400e-01	2.50660950e+01	4.89373200e-01
5.55419200e-01	2.56707450e+01	4.64734500e-01
5.65398100e-01	2.57915250e+01	5.16345600e-01
5.75376900e-01	2.56782900e+01	4.88514300e-01
5.85355800e-01	2.52537600e+01	4.82301750e-01
5.95334700e-01	2.59171350e+01	4.83342000e-01
6.05313500e-01	2.57213700e+01	4.68859050e-01
6.15292400e-01	2.48557800e+01	4.72888650e-01
6.25271200e-01	2.47167750e+01	4.71015300e-01
6.35250100e-01	2.43570150e+01	4.64803950e-01
6.45228900e-01	2.45672700e+01	4.61768100e-01
6.55207800e-01	2.43219450e+01	4.31779950e-01
6.65186600e-01	2.39716200e+01	4.62053100e-01
6.75165500e-01	2.33876100e+01	4.51656150e-01
6.85144300e-01	2.42545950e+01	4.47859800e-01
6.95123200e-01	2.30743500e+01	4.35691500e-01
