q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350_mult.dat_00001_[mult(Lyso_Lyso_3_000_350.dat_00001_[]*1.5000)]-Lyso_Buffer_000_350.dat_00001_[])	error
2.26117100e-01	2.50021200e+01	3.29936551e+00
2.36095900e-01	1.54305850e+01	2.88475540e+00
2.46074800e-01	2.56565100e+01	1.67700418e+00
2.56053600e-01	2.65944000e+01	1.33895259e+00
2.66032500e-01	2.63664600e+01	1.28572608e+00
2.76011300e-01	2.46212010e+01	1.03202392e+00
2.85990200e-01	2.39839060e+01	9.11266010e-01
2.95969000e-01	2.36222580e+01	8.21270354e-01
3.05947900e-01	2.50090210e+01	7.75226686e-01
3.15926800e-01	2.40765310e+01	7.74629638e-01
3.25905600e-01	2.45245700e+01	7.49187877e-01
3.35884500e-01	2.40216170e+01	7.34664369e-01
3.45863300e-01	2.45897210e+01	7.28568629e-01
3.55842200e-01	2.57410630e+01	7.04296734e-01
3.65821000e-01	2.50766980e+01	6.89268011e-01
3.75799900e-01	2.40592370e+01	6.37143524e-01
3.85778700e-01	2.37495820e+01	6.53321536e-01
3.95757600e-01	2.31524020e+01	5.89836329e-01
4.05736400e-01	2.35053600e+01	6.02720031e-01
4.15715300e-01	2.40227800e+01	6.35525514e-01
4.25694100e-01	2.29670060e+01	2.03574006e+01
4.35673000e-01	2.44427010e+01	2.05654731e+01
4.45651900e-01	2.33232770e+01	2.01517550e+01
4.55630700e-01	2.26553370e+01	5.73101776e-01
4.65609600e-01	2.28489840e+01	1.99810848e+01
4.75588400e-01	2.35465520e+01	2.01762820e+01
4.85567300e-01	2.23404130e+01	1.98022583e+01
4.95546100e-01	2.15966330e+01	1.95077316e+01
5.05525000e-01	2.20118380e+01	5.27529830e-01
5.15503800e-01	2.23500520e+01	5.32281060e-01
5.25482700e-01	2.17748610e+01	5.32813417e-01
5.35461500e-01	2.22924420e+01	5.07889854e-01
5.45440400e-01	2.05553850e+01	5.08965285e-01
5.55419200e-01	2.12982420e+01	4.84509389e-01
5.65398100e-01	2.13055080e+01	5.36186378e-01
5.75376900e-01	2.13586440e+01	5.06908481e-01
5.85355800e-01	2.08759040e+01	5.01853809e-01
5.95334700e-01	2.15862680e+01	6.46707851e+00
6.05313500e-01	2.14189780e+01	6.44483228e+00
6.15292400e-01	2.05755940e+01	4.91077991e-01
6.25271200e-01	2.03237180e+01	4.90628742e-01
6.35250100e-01	2.00711230e+01	4.83422989e-01
6.45228900e-01	2.03814560e+01	4.79229930e-01
6.55207800e-01	2.01310190e+01	4.50986103e-01
6.65186600e-01	1.97001280e+01	4.80977444e-01
6.75165500e-01	1.90764420e+01	4.70571103e-01
6.85144300e-01	2.03150930e+01	4.64540808e-01
6.95123200e-01	1.89588710e+01	4.52861385e-01
7.05102000e-01	1.88486560e+01	4.64664521e-01
7.15080900e-01	1.87138580e+01	4.64244973e-01
7.25059700e-01	1.84937180e+01	1.80931393e+01
7.35038600e-01	1.73577300e+01	1.76705064e+01
7.45017500e-01	1.81571160e+01	1.78853028e+01
7.54996300e-01	1.72166330e+01	4.33303150e-01
7.64975200e-01	1.66721770e+01	4.25679473e-01
7.74954000e-01	1.79809710e+01	4.36571148e-01
7.84932900e-01	1.74018870e+01	4.27928172e-01
7.94911700e-01	1.69735600e+01	4.15374797e-01
8.04890600e-01	1.67845780e+01	4.19967287e-01
8.14869400e-01	1.75197410e+01	4.14255479e-01
8.24848300e-01	1.67031630e+01	4.04786966e-01
8.34827100e-01	1.60129140e+01	4.00007044e-01
8.44806000e-01	1.60324090e+01	3.89201871e-01
8.54784800e-01	1.59652810e+01	3.97511077e-01
8.64763700e-01	1.55787060e+01	3.83370591e-01
8.74742600e-01	1.54754550e+01	3.70645018e-01
8.84721400e-01	1.56508740e+01	3.82005828e-01
8.94700300e-01	1.56105660e+01	3.83342209e-01
