q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_3_000_350.dat_00001_[]-Lyso_Buffer_000_350.dat_00001_[])	error
2.26117100e-01	1.08116800e+01	2.39913296e+00
2.36095900e-01	4.98538000e+00	2.11266510e+00
2.46074800e-01	1.33131400e+01	1.20812371e+00
2.56053600e-01	1.40976800e+01	9.54544608e-01
2.66032500e-01	1.41242400e+01	9.13570827e-01
2.76011300e-01	1.31236810e+01	7.36795199e-01
2.85990200e-01	1.28154510e+01	6.50548888e-01
2.95969000e-01	1.31014330e+01	5.87539275e-01
3.05947900e-01	1.39865160e+01	5.52263001e-01
3.15926800e-01	1.35746510e+01	5.47199389e-01
3.25905600e-01	1.40542500e+01	5.26495054e-01
3.35884500e-01	1.36975570e+01	5.17543654e-01
3.45863300e-01	1.41949210e+01	5.13865018e-01
3.55842200e-01	1.51925430e+01	4.93009056e-01
3.65821000e-01	1.46989780e+01	4.83418643e-01
3.75799900e-01	1.40727820e+01	4.49609452e-01
3.85778700e-01	1.39441320e+01	4.57245368e-01
3.95757600e-01	1.35955770e+01	4.14722945e-01
4.05736400e-01	1.38610550e+01	4.22095769e-01
4.15715300e-01	1.42267600e+01	4.44185363e-01
4.25694100e-01	1.34875460e+01	1.46074718e+01
4.35673000e-01	1.46245610e+01	1.46529988e+01
4.45651900e-01	1.39171070e+01	1.43736583e+01
4.55630700e-01	1.34138320e+01	4.00459122e-01
4.65609600e-01	1.36130640e+01	1.42605518e+01
4.75588400e-01	1.40936020e+01	1.43735591e+01
4.85567300e-01	1.32836130e+01	1.41438267e+01
4.95546100e-01	1.28193030e+01	1.39426421e+01
5.05525000e-01	1.30843680e+01	3.69964167e-01
5.15503800e-01	1.33503970e+01	3.71134649e-01
5.25482700e-01	1.29376960e+01	3.71530916e-01
5.35461500e-01	1.33944970e+01	3.55380291e-01
5.45440400e-01	1.22000200e+01	3.54961706e-01
5.55419200e-01	1.27413270e+01	3.38764643e-01
5.65398100e-01	1.27083330e+01	3.73333124e-01
5.75376900e-01	1.27992140e+01	3.52668363e-01
5.85355800e-01	1.24579840e+01	3.50180956e-01
5.95334700e-01	1.29472230e+01	6.45703615e+00
6.05313500e-01	1.28451880e+01	6.43535050e+00
6.15292400e-01	1.22903340e+01	3.41938909e-01
6.25271200e-01	1.20847930e+01	3.42729566e-01
6.35250100e-01	1.19521180e+01	3.37155836e-01
6.45228900e-01	1.21923660e+01	3.33467147e-01
6.55207800e-01	1.20237040e+01	3.15933636e-01
6.65186600e-01	1.17095880e+01	3.35755927e-01
6.75165500e-01	1.12805720e+01	3.28797147e-01
6.85144300e-01	1.22302280e+01	3.23056834e-01
6.95123200e-01	1.12674210e+01	3.15632608e-01
7.05102000e-01	1.11607360e+01	3.25007749e-01
7.15080900e-01	1.11256080e+01	3.22817083e-01
7.25059700e-01	1.09552930e+01	1.29415100e+01
7.35038600e-01	1.02078100e+01	1.26730984e+01
7.45017500e-01	1.07785760e+01	1.27826485e+01
7.54996300e-01	1.01497880e+01	3.02983193e-01
7.64975200e-01	9.79436700e+00	2.98165931e-01
7.74954000e-01	1.06441010e+01	3.04933499e-01
7.84932900e-01	1.02464220e+01	2.99175590e-01
7.94911700e-01	1.00220800e+01	2.89776265e-01
8.04890600e-01	9.80903800e+00	2.94533478e-01
8.14869400e-01	1.03518710e+01	2.90025686e-01
8.24848300e-01	9.80854800e+00	2.83860836e-01
8.34827100e-01	9.32945900e+00	2.80661796e-01
8.44806000e-01	9.33940400e+00	2.73431162e-01
8.54784800e-01	9.21975600e+00	2.79412723e-01
8.64763700e-01	9.07078100e+00	2.69807824e-01
8.74742600e-01	9.01179000e+00	2.60850300e-01
8.84721400e-01	9.13266400e+00	2.68375674e-01
8.94700300e-01	9.10274100e+00	2.70105813e-01
9.04679100e-01	8.94364400e+00	2.62008698e-01
9.14658000e-01	8.91435100e+00	2.62320670e-01
9.24636800e-01	8.20215900e+00	2.64175741e-01
9.34615700e-01	8.39326200e+00	2.54862740e-01
9.44594500e-01	8.17833500e+00	2.55941837e-01
9.54573400e-01	8.45810000e+00	2.58145965e-01
9.64552200e-01	7.77218100e+00	2.60751225e-01
9.74531100e-01	7.97229100e+00	2.56351972e-01
9.84509900e-01	7.49029700e+00	1.14895991e+01
9.94488800e-01	7.23560000e+00	1.14160400e+01
1.00446800e+00	7.72377400e+00	2.47085599e-01
1.01444700e+00	7.51416500e+00	1.16286099e+01
