q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_010_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-01	2.35933160e+01	5.36424168e+00
2.36095900e-01	3.07181380e+01	4.79930360e+00
2.46074800e-01	1.68954260e+01	2.39048779e+00
2.56053600e-01	1.88721810e+01	2.13809537e+00
2.66032500e-01	2.05004965e+01	1.94970885e+00
2.76011300e-01	1.91835788e+01	1.65469402e+00
2.85990200e-01	2.05962515e+01	1.53037634e+00
2.95969000e-01	1.71138908e+01	1.29675708e+00
3.05947900e-01	2.13571384e+01	1.30230622e+00
3.15926800e-01	1.81008765e+01	1.20303475e+00
3.25905600e-01	1.97825148e+01	1.20943188e+00
3.35884500e-01	1.70853037e+01	1.09161736e+00
3.45863300e-01	1.88236959e+01	1.13745946e+00
3.55842200e-01	2.00486272e+01	1.12064692e+00
3.65821000e-01	1.85021766e+01	1.07747661e+00
3.75799900e-01	1.71636627e+01	1.02034819e+00
3.85778700e-01	1.79580900e+01	1.00178343e+00
3.95757600e-01	1.70373877e+01	9.78321431e-01
4.05736400e-01	1.80168725e+01	9.70228001e-01
4.15715300e-01	1.77948832e+01	9.81795640e-01
4.25694100e-01	1.66010875e+01	1.42875435e+01
4.35673000e-01	1.85874938e+01	1.48702584e+01
4.45651900e-01	1.77637990e+01	1.45858725e+01
4.55630700e-01	1.62508757e+01	8.67965689e-01
4.65609600e-01	1.66948243e+01	1.42253257e+01
4.75588400e-01	1.78432200e+01	1.45386212e+01
4.85567300e-01	1.66949107e+01	1.41816411e+01
4.95546100e-01	1.75226588e+01	1.44462752e+01
5.05525000e-01	1.77841245e+01	8.61165751e-01
5.15503800e-01	1.71420150e+01	8.42446950e-01
5.25482700e-01	1.62662792e+01	8.23227422e-01
5.35461500e-01	1.80610771e+01	8.50745091e-01
5.45440400e-01	1.65819483e+01	8.18051349e-01
5.55419200e-01	1.73000047e+01	8.14045812e-01
5.65398100e-01	1.60388682e+01	8.11821052e-01
5.75376900e-01	1.67659227e+01	7.99907600e-01
5.85355800e-01	1.49402544e+01	7.71288583e-01
5.95334700e-01	1.45586989e+01	7.57444230e-01
6.05313500e-01	1.56893033e+01	7.60024991e-01
6.15292400e-01	1.48867534e+01	7.67776171e-01
6.25271200e-01	1.46565946e+01	7.41682202e-01
6.35250100e-01	1.58389788e+01	7.63155614e-01
6.45228900e-01	1.52025673e+01	7.45588899e-01
6.55207800e-01	1.53397679e+01	7.39708052e-01
6.65186600e-01	1.54673273e+01	7.64057676e-01
6.75165500e-01	1.47725095e+01	7.22276394e-01
6.85144300e-01	1.46410463e+01	7.28711697e-01
6.95123200e-01	1.37810205e+01	6.89049693e-01
7.05102000e-01	1.51863826e+01	7.28742363e-01
7.15080900e-01	1.38195337e+01	6.97840268e-01
7.25059700e-01	1.36719219e+01	1.28846624e+01
7.35038600e-01	1.33608844e+01	1.27998693e+01
7.45017500e-01	1.31735771e+01	1.27320980e+01
7.54996300e-01	1.40154617e+01	6.91690488e-01
7.64975200e-01	1.20973623e+01	6.43171109e-01
7.74954000e-01	1.42367135e+01	6.81828626e-01
7.84932900e-01	1.34262499e+01	6.65665808e-01
7.94911700e-01	1.17939525e+01	6.16598283e-01
8.04890600e-01	1.27643936e+01	6.54249491e-01
8.14869400e-01	1.31032552e+01	6.43320809e-01
8.24848300e-01	1.09528007e+01	5.97703511e-01
8.34827100e-01	1.22318681e+01	6.25284123e-01
8.44806000e-01	1.20200068e+01	6.14253021e-01
8.54784800e-01	1.18023258e+01	6.12070863e-01
8.64763700e-01	1.18794982e+01	6.08561023e-01
8.74742600e-01	1.20996328e+01	6.04731913e-01
8.84721400e-01	1.07709908e+01	5.84120582e-01
8.94700300e-01	1.19079319e+01	6.01215428e-01
9.04679100e-01	1.13319816e+01	5.88461365e-01
9.14658000e-01	1.18336714e+01	5.87493648e-01
9.24636800e-01	1.05789664e+01	5.64767207e-01
9.34615700e-01	1.12879406e+01	5.82437770e-01
9.44594500e-01	1.07511762e+01	5.62893814e-01
9.54573400e-01	1.08956452e+01	5.69303563e-01
9.64552200e-01	1.10055612e+01	5.59754764e-01
9.74531100e-01	1.02813078e+01	5.50283933e-01
9.84509900e-01	1.08646563e+01	1.17458228e+01
9.94488800e-01	1.03092449e+01	1.15464084e+01
1.00446800e+00	9.72706500e+00	5.31600664e-01
1.01444700e+00	1.06674432e+01	1.16702739e+01
1.02442500e+00	9.20419370e+00	1.11034919e+01
1.03440400e+00	9.89638230e+00	1.13895269e+01
1.04438300e+00	9.37703890e+00	5.08457238e-01
1.05436200e+00	9.43146780e+00	5.13633802e-01
1.06434100e+00	9.35538780e+00	5.07596443e-01
1.07432000e+00	8.69929430e+00	4.98251222e-01
1.08429800e+00	7.87206500e+00	4.75434714e-01
1.09427700e+00	8.13623180e+00	4.75818016e-01
1.10425600e+00	9.17031390e+00	4.99261400e-01
1.11423500e+00	9.26431320e+00	1.10855636e+01
1.12421400e+00	8.50425500e+00	1.08028643e+01
1.13419300e+00	8.81333700e+00	4.88223117e-01
1.14417200e+00	7.85337040e+00	4.56302074e-01
1.15415000e+00	7.59888740e+00	4.60498431e-01
1.16412900e+00	7.99116940e+00	4.63264486e-01
1.17410800e+00	9.24619070e+00	4.85922886e-01
1.18408700e+00	7.29369520e+00	4.48428393e-01
1.19406600e+00	7.65380850e+00	4.48442205e-01
1.20404500e+00	7.33464590e+00	4.48685842e-01
1.21402400e+00	7.48165040e+00	4.42691612e-01
1.22400200e+00	6.75664600e+00	4.24257491e-01
1.23398100e+00	6.95043140e+00	4.27499457e-01
1.24396000e+00	6.70629340e+00	4.23907625e-01
1.25393900e+00	6.73460780e+00	4.26625088e-01
1.26391800e+00	6.49601750e+00	4.10747099e-01
1.27389700e+00	6.63566090e+00	4.18050703e-01
1.28387600e+00	7.44015750e+00	1.03079330e+01
1.29385400e+00	7.26659330e+00	1.02710729e+01
1.30383300e+00	6.84489370e+00	4.22185912e-01
1.31381200e+00	6.29755580e+00	3.98974144e-01
1.32379100e+00	5.90943870e+00	3.94575915e-01
1.33377000e+00	6.57154540e+00	4.04741534e-01
1.34374900e+00	5.55822520e+00	3.85988268e-01
1.35372800e+00	5.54144640e+00	3.83373328e-01
1.36370600e+00	5.03032040e+00	3.64544427e-01
1.37368500e+00	5.70071530e+00	3.84592196e-01
1.38366400e+00	5.33653400e+00	3.72710300e-01
1.39364300e+00	4.93271700e+00	3.60243209e-01
1.40362200e+00	4.80688870e+00	3.62567394e-01
1.41360100e+00	5.24070930e+00	9.32478925e+00
1.42357900e+00	5.37416530e+00	9.36219100e+00
1.43355800e+00	4.83053220e+00	3.54228632e-01
1.44353700e+00	5.01761350e+00	3.60216445e-01
1.45351600e+00	4.42749310e+00	3.41296508e-01
1.46349500e+00	4.25550410e+00	3.37622330e-01
1.47347400e+00	4.07164280e+00	3.36504463e-01
1.48345300e+00	4.10595220e+00	3.28256589e-01
1.49343100e+00	4.74146700e+00	3.49677932e-01
1.50341000e+00	4.53597590e+00	3.40754253e-01
1.51338900e+00	4.12876930e+00	3.31407108e-01
1.52336800e+00	4.48101910e+00	3.40995787e-01
1.53334700e+00	4.52095990e+00	3.31793219e-01
1.54332600e+00	4.57103560e+00	8.90754395e+00
1.55330500e+00	4.25409460e+00	8.76170946e+00
1.56328300e+00	3.66772970e+00	3.15652868e-01
1.57326200e+00	4.23144130e+00	3.32161501e-01
1.58324100e+00	3.84040250e+00	3.14096606e-01
1.59322000e+00	3.23598280e+00	3.02297385e-01
1.60319900e+00	3.93559400e+00	3.18666808e-01
1.61317800e+00	3.25601970e+00	3.00860527e-01
1.62315700e+00	3.30875490e+00	3.00047380e-01
1.63313500e+00	3.16962650e+00	2.92346397e-01
1.64311400e+00	3.21325030e+00	2.98598586e-01
1.65309300e+00	3.24905120e+00	2.94876309e-01
1.66307200e+00	3.28192640e+00	2.96545701e-01
1.67305100e+00	3.48298130e+00	3.00020647e-01
1.68303000e+00	2.85521320e+00	2.81569324e-01
1.69300900e+00	3.56823160e+00	3.04682806e-01
1.70298700e+00	2.61577590e+00	2.75574868e-01
1.71296600e+00	2.52062150e+00	2.73848386e-01
1.72294500e+00	3.16409100e+00	2.88357089e-01
