q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_000_350_sub.dat_00001_[sub(Lyso_Lyso_4_000_350.dat_00001_[]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
2.26117100e-02	2.19912260e+01	1.09935262e+00
2.36095900e-02	2.10478580e+01	8.33331398e-01
2.46074800e-02	2.02109460e+01	4.93775673e-01
2.56053600e-02	2.01186610e+01	4.18001210e-01
2.66032500e-02	1.99812265e+01	3.48927659e-01
2.76011300e-02	1.98512488e+01	3.09315764e-01
2.85990200e-02	1.95203715e+01	2.77015468e-01
2.95969000e-02	1.91386608e+01	2.57391594e-01
3.05947900e-02	1.90239584e+01	2.35426828e-01
3.15926800e-02	1.90216865e+01	2.33910358e-01
3.25905600e-02	1.90259448e+01	2.28961319e-01
3.35884500e-02	1.87236137e+01	2.14337726e-01
3.45863300e-02	1.87941959e+01	2.15394097e-01
3.55842200e-02	1.85790472e+01	2.04116912e-01
3.65821000e-02	1.82679666e+01	2.06008854e-01
3.75799900e-02	1.85289027e+01	1.99583708e-01
3.85778700e-02	1.81779400e+01	1.92136617e-01
3.95757600e-02	1.81498677e+01	1.89699663e-01
4.05736400e-02	1.78225025e+01	1.82233164e-01
4.15715300e-02	1.76537032e+01	1.86578274e-01
4.25694100e-02	1.77838675e+01	1.46537549e+01
4.35673000e-02	1.76980438e+01	1.45998040e+01
4.45651900e-02	1.74375990e+01	1.44853269e+01
4.55630700e-02	1.74431157e+01	1.71112455e-01
4.65609600e-02	1.74584343e+01	1.44638348e+01
4.75588400e-02	1.71921800e+01	1.43365835e+01
4.85567300e-02	1.70632607e+01	1.42975339e+01
4.95546100e-02	1.65571888e+01	1.41436771e+01
5.05525000e-02	1.68810345e+01	1.62083981e-01
5.15503800e-02	1.67993250e+01	1.60629965e-01
5.25482700e-02	1.66814592e+01	1.57410043e-01
5.35461500e-02	1.65234771e+01	1.56280988e-01
5.45440400e-02	1.62663483e+01	1.54335671e-01
5.55419200e-02	1.61602247e+01	1.49246657e-01
5.65398100e-02	1.63078082e+01	1.58073766e-01
5.75376900e-02	1.60518427e+01	1.50362851e-01
5.85355800e-02	1.59516544e+01	1.51477818e-01
5.95334700e-02	1.55880189e+01	1.47730436e-01
6.05313500e-02	1.55692033e+01	1.44260575e-01
6.15292400e-02	1.51767234e+01	1.49226647e-01
6.25271200e-02	1.54095646e+01	1.45072827e-01
6.35250100e-02	1.52826388e+01	1.44062174e-01
6.45228900e-02	1.50450873e+01	1.42169037e-01
6.55207800e-02	1.48279979e+01	1.40387309e-01
6.65186600e-02	1.47027073e+01	1.44465115e-01
6.75165500e-02	1.45226195e+01	1.36847220e-01
6.85144300e-02	1.44075063e+01	1.39143100e-01
6.95123200e-02	1.43944805e+01	1.34392184e-01
7.05102000e-02	1.42374126e+01	1.34910029e-01
7.15080900e-02	1.40959237e+01	1.34032428e-01
7.25059700e-02	1.40509619e+01	1.30158019e+01
7.35038600e-02	1.37931844e+01	1.29503043e+01
7.45017500e-02	1.33774771e+01	1.28036509e+01
7.54996300e-02	1.35016717e+01	1.30664030e-01
7.64975200e-02	1.32417523e+01	1.27675901e-01
7.74954000e-02	1.31894635e+01	1.28013537e-01
7.84932900e-02	1.29514299e+01	1.26461853e-01
7.94911700e-02	1.30103825e+01	1.22585047e-01
8.04890600e-02	1.28272236e+01	1.25776022e-01
8.14869400e-02	1.25569452e+01	1.21262367e-01
8.24848300e-02	1.23124707e+01	1.19807160e-01
8.34827100e-02	1.24318581e+01	1.21268453e-01
8.44806000e-02	1.21782368e+01	1.17685737e-01
8.54784800e-02	1.20677358e+01	1.18809736e-01
8.64763700e-02	1.19256482e+01	1.17481640e-01
8.74742600e-02	1.17976628e+01	1.15864197e-01
8.84721400e-02	1.13424408e+01	1.15681145e-01
8.94700300e-02	1.14529319e+01	1.15140548e-01
9.04679100e-02	1.13678916e+01	1.14828179e-01
9.14658000e-02	1.11906914e+01	1.11375916e-01
9.24636800e-02	1.10222164e+01	1.11156599e-01
9.34615700e-02	1.09964706e+01	1.11627922e-01
9.44594500e-02	1.04882562e+01	1.08575699e-01
9.54573400e-02	1.06404052e+01	1.09014553e-01
9.64552200e-02	1.03801912e+01	1.07056371e-01
9.74531100e-02	1.02357778e+01	1.06568864e-01
9.84509900e-02	1.02338163e+01	1.15026744e+01
9.94488800e-02	9.94723490e+00	1.14050719e+01
1.00446800e-01	9.76101500e+00	1.04237741e-01
1.01444700e-01	9.71382320e+00	1.12982366e+01
1.02442500e-01	9.81703370e+00	1.13480915e+01
1.03440400e-01	9.26889230e+00	1.11399494e+01
1.04438300e-01	9.33151890e+00	9.97739599e-02
1.05436200e-01	9.29005780e+00	1.00149316e-01
1.06434100e-01	9.00334780e+00	9.84636795e-02
1.07432000e-01	9.00376430e+00	9.89144202e-02
1.08429800e-01	8.81427500e+00	9.62373493e-02
1.09427700e-01	8.56234180e+00	9.59985298e-02
1.10425600e-01	8.54354390e+00	9.60261101e-02
1.11423500e-01	8.34968320e+00	1.07095170e+01
1.12421400e-01	8.23108500e+00	1.06889693e+01
1.13419300e-01	8.23184700e+00	9.24659152e-02
1.14417200e-01	7.99315040e+00	9.03140518e-02
1.15415000e-01	7.79071740e+00	9.15069271e-02
1.16412900e-01	7.60087940e+00	8.96153807e-02
1.17410800e-01	7.58692070e+00	8.87091134e-02
1.18408700e-01	7.38946520e+00	8.91903401e-02
1.19406600e-01	7.23794950e+00	8.68112832e-02
1.20404500e-01	7.12062490e+00	8.73519011e-02
1.21402400e-01	7.16568140e+00	8.64653762e-02
1.22400200e-01	7.04580900e+00	8.52901406e-02
1.23398100e-01	6.91451140e+00	8.39658649e-02
1.24396000e-01	6.70883540e+00	8.41778187e-02
1.25393900e-01	6.66281880e+00	8.37777164e-02
1.26391800e-01	6.44879050e+00	8.21110273e-02
1.27389700e-01	6.53797390e+00	8.31062727e-02
1.28387600e-01	6.29014450e+00	9.79532472e+00
1.29385400e-01	6.12231130e+00	9.75915804e+00
1.30383300e-01	5.94382770e+00	8.11482217e-02
1.31381200e-01	5.95820880e+00	7.87022742e-02
1.32379100e-01	5.84629970e+00	7.80910152e-02
1.33377000e-01	5.78621640e+00	7.70016900e-02
1.34374900e-01	5.62747920e+00	7.81394127e-02
1.35372800e-01	5.60285440e+00	7.72167101e-02
1.36370600e-01	5.36214140e+00	7.52175742e-02
1.37368500e-01	5.38022030e+00	7.59527689e-02
1.38366400e-01	5.35447900e+00	7.54969250e-02
1.39364300e-01	5.16522800e+00	7.32347504e-02
1.40362200e-01	5.10616970e+00	7.41797356e-02
1.41360100e-01	4.89446830e+00	9.15691449e+00
1.42357900e-01	5.02426430e+00	9.19321440e+00
1.43355800e-01	4.70747320e+00	7.10073968e-02
1.44353700e-01	4.66121550e+00	7.17710872e-02
1.45351600e-01	4.65797810e+00	7.07085368e-02
1.46349500e-01	4.41718410e+00	6.86900533e-02
1.47347400e-01	4.45584080e+00	7.06509654e-02
1.48345300e-01	4.29637120e+00	6.77589495e-02
1.49343100e-01	4.41185300e+00	6.96975043e-02
1.50341000e-01	4.29389190e+00	6.82639921e-02
1.51338900e-01	4.08740330e+00	6.80237554e-02
1.52336800e-01	4.10464010e+00	6.81857125e-02
1.53334700e-01	4.02706190e+00	6.59409128e-02
1.54332600e-01	3.99826760e+00	8.61462881e+00
1.55330500e-01	3.82252860e+00	8.53816960e+00
1.56328300e-01	3.64631970e+00	6.51437761e-02
1.57326200e-01	3.74699730e+00	6.62082568e-02
1.58324100e-01	3.59932350e+00	6.35113574e-02
1.59322000e-01	3.41302580e+00	6.36514338e-02
1.60319900e-01	3.49449100e+00	6.37050798e-02
1.61317800e-01	3.42435670e+00	6.32814106e-02
1.62315700e-01	3.39293690e+00	6.25862999e-02
1.63313500e-01	3.20358050e+00	6.12714769e-02
1.64311400e-01	3.14111630e+00	6.20391995e-02
1.65309300e-01	3.04134820e+00	6.05736202e-02
1.66307200e-01	3.05802940e+00	6.02509895e-02
1.67305100e-01	3.10128730e+00	6.04984604e-02
1.68303000e-01	2.85713120e+00	5.87581691e-02
1.69300900e-01	2.84914860e+00	6.01690385e-02
1.70298700e-01	2.84863290e+00	5.89809693e-02
1.71296600e-01	2.68699650e+00	5.83454286e-02
1.72294500e-01	2.68184200e+00	5.79079244e-02
1.73292400e-01	2.68134360e+00	5.77099354e-02
1.74290300e-01	2.63475760e+00	5.86234949e-02
1.75288200e-01	2.46573100e+00	5.62816778e-02
1.76286100e-01	2.55771020e+00	5.71050444e-02
1.77283900e-01	2.45604200e+00	5.58509896e-02
1.78281800e-01	2.31756950e+00	5.65621539e-02
1.79279700e-01	2.28995930e+00	5.56798801e-02
1.80277600e-01	2.30917900e+00	5.50093999e-02
1.81275500e-01	2.22178890e+00	5.50912523e-02
1.82273400e-01	2.14719450e+00	5.41056321e-02
1.83271200e-01	2.20814520e+00	7.64597272e+00
1.84269100e-01	2.16320280e+00	7.59739382e+00
1.85267000e-01	2.13380550e+00	7.59612238e+00
1.86264900e-01	2.04179980e+00	7.56583778e+00
1.87262800e-01	2.00417350e+00	5.26475729e-02
1.88260700e-01	1.94565250e+00	5.27540361e-02
1.89258600e-01	1.90605800e+00	5.35788897e-02
1.90256400e-01	1.87464120e+00	7.44753697e+00
1.91254300e-01	1.87784910e+00	7.41969911e+00
1.92252200e-01	1.85230200e+00	5.20529803e-02
1.93250100e-01	1.74727510e+00	5.09319379e-02
1.94248000e-01	1.74476640e+00	5.11291051e-02
1.95245900e-01	1.63066560e+00	4.97161786e-02
1.96243800e-01	1.59455930e+00	5.11356483e-02
1.97241600e-01	1.65611660e+00	5.04372200e-02
1.98239500e-01	1.62359260e+00	5.07225285e-02
1.99237400e-01	1.63071870e+00	5.02369819e-02
2.00235300e-01	1.55443670e+00	4.92452890e-02
2.01233200e-01	1.52100530e+00	4.96132740e-02
2.02231100e-01	1.51300070e+00	4.85941725e-02
2.03229000e-01	1.52492860e+00	4.93836973e-02
2.04226800e-01	1.45034390e+00	4.87890635e-02
2.05224700e-01	1.44389400e+00	4.84365680e-02
2.06222600e-01	1.50221440e+00	4.86704808e-02
2.07220500e-01	1.35681980e+00	4.77260858e-02
2.08218400e-01	1.36558410e+00	4.80820813e-02
2.09216300e-01	1.32045350e+00	4.80466489e-02
2.10214200e-01	1.29076580e+00	4.74491301e-02
2.11212000e-01	1.31739390e+00	4.78810823e-02
2.12209900e-01	1.25583560e+00	4.67987387e-02
2.13207800e-01	1.26330660e+00	4.70095050e-02
2.14205700e-01	1.21817760e+00	6.99434802e+00
2.15203600e-01	1.16890590e+00	6.95313622e+00
2.16201500e-01	1.13543830e+00	4.59894620e-02
2.17199400e-01	1.09790920e+00	6.99602377e+00
2.18197200e-01	1.13434210e+00	6.95482119e+00
2.19195100e-01	1.09954500e+00	6.96435503e+00
2.20193000e-01	1.09530090e+00	6.96225366e+00
2.21190900e-01	1.05690170e+00	4.54159559e-02
2.22188800e-01	1.05063690e+00	4.48652371e-02
2.23186700e-01	1.10091180e+00	4.52011935e-02
2.24184500e-01	1.08798450e+00	4.50887993e-02
2.25182400e-01	1.08191490e+00	4.52818297e-02
2.26180300e-01	1.09797180e+00	4.42572227e-02
2.27178200e-01	9.51420700e-01	4.40525959e-02
2.28176100e-01	1.07322070e+00	4.49474640e-02
2.29174000e-01	1.06846540e+00	4.41691668e-02
2.30171900e-01	9.82822200e-01	4.38451760e-02
2.31169700e-01	9.92004200e-01	4.38544271e-02
2.32167600e-01	9.79802900e-01	4.34768076e-02
2.33165500e-01	9.57081700e-01	4.29155117e-02
2.34163400e-01	9.52766300e-01	4.25538755e-02
2.35161300e-01	9.59390000e-01	4.33672556e-02
2.36159200e-01	9.05872400e-01	4.29357523e-02
2.37157100e-01	9.21093700e-01	4.34020828e-02
2.38154900e-01	8.76137400e-01	4.31550836e-02
2.39152800e-01	9.33245200e-01	4.23707957e-02
2.40150700e-01	9.65353500e-01	4.28928040e-02
2.41148600e-01	8.69592700e-01	4.27034192e-02
2.42146500e-01	8.43346200e-01	4.21545144e-02
2.43144400e-01	8.27519300e-01	4.24399125e-02
2.44142300e-01	9.23898200e-01	4.24809799e-02
2.45140100e-01	8.73743100e-01	4.31415884e-02
2.46138000e-01	7.96392300e-01	4.20230489e-02
2.47135900e-01	8.55114100e-01	4.23118869e-02
2.48133800e-01	8.14027000e-01	4.17062111e-02
2.49131700e-01	9.23290300e-01	4.19919332e-02
2.50129600e-01	7.93872000e-01	4.19221691e-02
2.51127500e-01	8.50221500e-01	4.18158369e-02
2.52125300e-01	8.70802500e-01	6.77552073e+00
2.53123200e-01	8.14483800e-01	6.71667903e+00
2.54121100e-01	8.14991100e-01	4.16270974e-02
2.55119000e-01	7.90371200e-01	4.13377214e-02
2.56116900e-01	8.18638900e-01	4.12332745e-02
2.57114800e-01	8.71143900e-01	4.12996310e-02
2.58112700e-01	8.01316900e-01	4.15201379e-02
2.59110500e-01	8.50180300e-01	4.06936310e-02
2.60108400e-01	8.29577300e-01	4.09664393e-02
2.61106300e-01	8.45699600e-01	3.94385720e+00
2.62104200e-01	8.33364600e-01	3.90301342e+00
2.63102100e-01	6.85627800e-01	3.98298814e+00
2.64100000e-01	8.37769100e-01	4.03370361e-02
2.65097800e-01	7.99145600e-01	4.03854518e-02
2.66095700e-01	7.49645800e-01	4.07142280e-02
2.67093600e-01	7.68322300e-01	4.09743489e-02
2.68091500e-01	7.55997300e-01	4.05162125e-02
2.69089400e-01	7.74583700e-01	5.13964335e-02
2.70087300e-01	8.20553000e-01	4.03800547e-02
2.71085200e-01	8.05064200e-01	6.69029929e+00
2.72083000e-01	8.19340400e-01	6.69270295e+00
2.73080900e-01	8.65345700e-01	6.69491571e+00
2.74078800e-01	7.66323900e-01	4.05142430e-02
2.75076700e-01	8.28199700e-01	6.69768553e+00
2.76074600e-01	8.38210500e-01	6.75894604e+00
2.77072500e-01	8.46654700e-01	4.01929101e-02
2.78070400e-01	7.76968900e-01	3.91677679e-02
2.79068200e-01	7.70056200e-01	3.99597531e-02
2.80066100e-01	8.43982000e-01	3.94126176e-02
2.81064000e-01	7.87974700e-01	3.92902969e-02
2.82061900e-01	8.40003900e-01	3.97512611e-02
2.83059800e-01	8.46294500e-01	3.91123103e-02
2.84057700e-01	8.15909700e-01	3.95095131e-02
2.85055600e-01	7.78601400e-01	3.97490876e+00
2.86053400e-01	8.31948500e-01	3.95781606e+00
2.87051300e-01	8.32759200e-01	6.73865138e+00
2.88049200e-01	8.28526000e-01	6.69115385e+00
2.89047100e-01	7.69756700e-01	6.68809235e+00
2.90045000e-01	8.60161300e-01	6.72537654e+00
2.91042900e-01	8.74395800e-01	6.73200316e+00
2.92040800e-01	8.27126700e-01	3.86278335e-02
2.93038600e-01	8.41512900e-01	3.85885886e-02
2.94036500e-01	8.35002400e-01	3.85757147e-02
2.95034400e-01	8.13269600e-01	3.84068890e-02
2.96032300e-01	8.66164900e-01	3.85933471e-02
2.97030200e-01	7.89490600e-01	3.82124511e-02
2.98028100e-01	8.39987400e-01	3.86243091e-02
2.99026000e-01	8.41452700e-01	3.88984520e-02
3.00023800e-01	8.39566500e-01	3.79440767e-02
