q[A-1]	I(q)[sr-1]_nmA(Lyso_Lyso_4_frames_005_350_sub.dat_00001_[sub(Lyso_Lyso_4_frames_005_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-02	2.60371960e+01	5.54670432e+00
2.36095900e-02	1.72768280e+01	3.93769456e+00
2.46074800e-02	2.51842360e+01	2.75160059e+00
2.56053600e-02	2.18017010e+01	2.25305978e+00
2.66032500e-02	1.92597565e+01	1.90533863e+00
2.76011300e-02	1.76022488e+01	1.60352849e+00
2.85990200e-02	1.76382915e+01	1.44385381e+00
2.95969000e-02	1.76280408e+01	1.31123788e+00
3.05947900e-02	1.89759184e+01	1.24369865e+00
3.15926800e-02	1.64940965e+01	1.16103234e+00
3.25905600e-02	1.60684648e+01	1.11524471e+00
3.35884500e-02	1.93662537e+01	1.14695355e+00
3.45863300e-02	1.86577559e+01	1.13341743e+00
3.55842200e-02	1.80004272e+01	1.07283302e+00
3.65821000e-02	1.93167966e+01	1.09655462e+00
3.75799900e-02	1.74071727e+01	1.02614251e+00
3.85778700e-02	1.59566800e+01	9.55265542e-01
3.95757600e-02	1.82717877e+01	1.00675123e+00
4.05736400e-02	1.66019925e+01	9.38445295e-01
4.15715300e-02	1.56549732e+01	9.31945381e-01
4.25694100e-02	1.82012475e+01	1.47808258e+01
4.35673000e-02	1.87468038e+01	1.49181770e+01
4.45651900e-02	1.70956690e+01	1.43791723e+01
4.55630700e-02	1.68609757e+01	8.81265275e-01
4.65609600e-02	1.78571143e+01	1.45868153e+01
4.75588400e-02	1.68922600e+01	1.42425381e+01
4.85567300e-02	1.65178207e+01	1.41255799e+01
4.95546100e-02	1.59351088e+01	1.39452153e+01
5.05525000e-02	1.65590045e+01	8.35896541e-01
5.15503800e-02	1.66904950e+01	8.33087404e-01
5.25482700e-02	1.49169592e+01	7.94367410e-01
5.35461500e-02	1.69749071e+01	8.28794154e-01
5.45440400e-02	1.71229883e+01	8.29157948e-01
5.55419200e-02	1.62001147e+01	7.91889787e-01
5.65398100e-02	1.68285182e+01	8.28350421e-01
5.75376900e-02	1.57381527e+01	7.79000949e-01
5.85355800e-02	1.53685344e+01	7.80381507e-01
5.95334700e-02	1.48810389e+01	7.64271961e-01
6.05313500e-02	1.55969233e+01	7.58151250e-01
6.15292400e-02	1.44943034e+01	7.59371890e-01
6.25271200e-02	1.58078246e+01	7.65448806e-01
6.35250100e-02	1.58389788e+01	7.63155614e-01
6.45228900e-02	1.42272373e+01	7.25379510e-01
6.55207800e-02	1.30398079e+01	6.91714654e-01
6.65186600e-02	1.32271073e+01	7.16309892e-01
6.75165500e-02	1.36011495e+01	6.98127057e-01
6.85144300e-02	1.36186663e+01	7.07303083e-01
6.95123200e-02	1.46033705e+01	7.05768550e-01
7.05102000e-02	1.36292526e+01	6.96646838e-01
7.15080900e-02	1.42559437e+01	7.06878903e-01
7.25059700e-02	1.33316319e+01	1.27657891e+01
7.35038600e-02	1.43342744e+01	1.31361666e+01
7.45017500e-02	1.29052871e+01	1.26373346e+01
7.54996300e-02	1.15075417e+01	6.38565167e-01
7.64975200e-02	1.28395223e+01	6.58839141e-01
7.74954000e-02	1.36393235e+01	6.69827229e-01
7.84932900e-02	1.36713799e+01	6.70662071e-01
7.94911700e-02	1.27549725e+01	6.36517564e-01
8.04890600e-02	1.16169636e+01	6.29837168e-01
8.14869400e-02	1.16227652e+01	6.12705493e-01
8.24848300e-02	1.13671807e+01	6.06614516e-01
8.34827100e-02	1.24136781e+01	6.29048988e-01
8.44806000e-02	1.23753968e+01	6.21553136e-01
8.54784800e-02	1.12902758e+01	6.01266195e-01
8.64763700e-02	1.16277882e+01	6.03332975e-01
8.74742600e-02	1.06511628e+01	5.74578301e-01
8.84721400e-02	1.18503108e+01	6.06867612e-01
8.94700300e-02	1.18097319e+01	5.99207070e-01
9.04679100e-02	1.16747516e+01	5.95549229e-01
9.14658000e-02	1.00414914e+01	5.50351774e-01
9.24636800e-02	1.05310464e+01	5.63749823e-01
9.34615700e-02	1.09266106e+01	5.74917389e-01
9.44594500e-02	1.09378562e+01	5.66750250e-01
9.54573400e-02	1.12275252e+01	5.76171998e-01
9.64552200e-02	9.19070120e+00	5.21683766e-01
9.74531100e-02	9.77190780e+00	5.39460204e-01
9.84509900e-02	1.07946463e+01	1.17190867e+01
9.94488800e-02	1.06891349e+01	1.16928927e+01
1.00446800e-01	1.00664950e+01	5.38776407e-01
1.01444700e-01	1.00257932e+01	1.14212789e+01
1.02442500e-01	1.00870337e+01	1.14541966e+01
1.03440400e-01	9.12895230e+00	1.10835180e+01
1.04438300e-01	9.61172890e+00	5.13357577e-01
1.05436200e-01	9.21501780e+00	5.09052830e-01
1.06434100e-01	8.60864780e+00	4.91652420e-01
1.07432000e-01	8.39627430e+00	4.91625294e-01
1.08429800e-01	8.08491500e+00	4.80175542e-01
1.09427700e-01	8.36599180e+00	4.80834819e-01
1.10425600e-01	8.89750390e+00	4.93494470e-01
1.11423500e-01	7.67813320e+00	1.04247819e+01
1.12421400e-01	8.66981500e+00	1.08713118e+01
1.13419300e-01	7.40282700e+00	4.57278801e-01
1.14417200e-01	7.73468040e+00	4.53722186e-01
1.15415000e-01	7.76330740e+00	4.64153046e-01
1.16412900e-01	7.21456440e+00	4.46261444e-01
1.17410800e-01	7.41059070e+00	4.47091423e-01
1.18408700e-01	6.59048720e+00	4.32388074e-01
1.19406600e-01	6.64957050e+00	4.26270289e-01
1.20404500e-01	6.57457090e+00	4.31411611e-01
1.21402400e-01	7.05950740e+00	4.33446332e-01
1.22400200e-01	7.44301300e+00	4.39409157e-01
1.23398100e-01	6.44000140e+00	4.16060405e-01
1.24396000e-01	6.68722740e+00	4.23478671e-01
1.25393900e-01	6.31156280e+00	4.16982171e-01
1.26391800e-01	6.29361650e+00	4.06188321e-01
1.27389700e-01	6.54173090e+00	4.15934839e-01
1.28387600e-01	6.61214650e+00	9.94151933e+00
1.29385400e-01	5.65917830e+00	9.54416560e+00
1.30383300e-01	5.89280070e+00	4.00583036e-01
1.31381200e-01	6.68639080e+00	4.07495692e-01
1.32379100e-01	6.03693070e+00	3.97507496e-01
1.33377000e-01	5.65248040e+00	3.84150920e-01
1.34374900e-01	6.00988220e+00	3.96417325e-01
1.35372800e-01	5.55933240e+00	3.83790383e-01
1.36370600e-01	5.40726040e+00	3.73297439e-01
1.37368500e-01	4.94071930e+00	3.66713410e-01
1.38366400e-01	5.12814200e+00	3.67823431e-01
1.39364300e-01	4.82912300e+00	3.57752078e-01
1.40362200e-01	5.14007270e+00	3.70537140e-01
1.41360100e-01	5.05612130e+00	9.23567176e+00
1.42357900e-01	5.20348130e+00	9.28014792e+00
1.43355800e-01	4.39423420e+00	3.43739016e-01
1.44353700e-01	5.00064250e+00	3.59816409e-01
1.45351600e-01	4.64202610e+00	3.46444335e-01
1.46349500e-01	3.84445510e+00	3.27460510e-01
1.47347400e-01	4.47665380e+00	3.46511205e-01
1.48345300e-01	3.97793920e+00	3.25121522e-01
1.49343100e-01	4.79115800e+00	3.50852759e-01
1.50341000e-01	4.03455490e+00	3.28638225e-01
1.51338900e-01	3.58080230e+00	3.17803737e-01
1.52336800e-01	4.15278210e+00	3.33003211e-01
1.53334700e-01	4.38262790e+00	3.28573467e-01
1.54332600e-01	3.63961760e+00	8.42603226e+00
1.55330500e-01	3.97161560e+00	8.61604848e+00
1.56328300e-01	2.97843170e+00	2.98057484e-01
1.57326200e-01	3.30002430e+00	3.08826308e-01
1.58324100e-01	3.43102250e+00	3.04055153e-01
1.59322000e-01	3.46893380e+00	3.08223094e-01
1.60319900e-01	3.44205200e+00	3.06490733e-01
1.61317800e-01	3.33300370e+00	3.02823958e-01
1.62315700e-01	3.50653290e+00	3.05020320e-01
1.63313500e-01	2.80056250e+00	2.82874630e-01
1.64311400e-01	2.75606230e+00	2.86694627e-01
1.65309300e-01	3.10069220e+00	2.91120271e-01
1.66307200e-01	2.78825540e+00	2.83820634e-01
1.67305100e-01	3.21460230e+00	2.93276097e-01
1.68303000e-01	2.98466420e+00	2.84856495e-01
1.69300900e-01	2.79886360e+00	2.85000269e-01
1.70298700e-01	2.51411290e+00	2.72882845e-01
1.71296600e-01	2.92926150e+00	2.84529045e-01
