q[nm-1]	I(q)[sr-1]_sub(Lyso_Lyso_4_frames_029_350.dat_00001_[</fileinfo>]-Lyso_Buffer_2_000_350_mult.dat_00001_[mult(Lyso_Buffer_2_000_350.dat_00001_[</fileinfo>]*0.7000)])	error
0.00000000e+00	-2.44999930e+02	0.00000000e+00
0.00000000e+00	1.04999970e+02	0.00000000e+00
2.26117100e-01	2.35933160e+01	5.36424168e+00
2.36095900e-01	2.17572680e+01	4.24437583e+00
2.46074800e-01	1.95836860e+01	2.51329646e+00
2.56053600e-01	1.71489310e+01	2.06748509e+00
2.66032500e-01	2.13276565e+01	1.97873593e+00
2.76011300e-01	2.02377988e+01	1.68794262e+00
2.85990200e-01	1.94652715e+01	1.49788460e+00
2.95969000e-01	1.96846408e+01	1.36762617e+00
3.05947900e-01	1.91012484e+01	1.24685198e+00
3.15926800e-01	2.02638465e+01	1.25736370e+00
3.25905600e-01	1.76601948e+01	1.15655021e+00
3.35884500e-01	1.89861037e+01	1.13791788e+00
3.45863300e-01	2.05384259e+01	1.17841506e+00
3.55842200e-01	1.98950072e+01	1.11713192e+00
3.65821000e-01	1.90622266e+01	1.09062858e+00
3.75799900e-01	1.80402727e+01	1.04105752e+00
3.85778700e-01	1.81855200e+01	1.00693381e+00
3.95757600e-01	1.95976377e+01	1.03641849e+00
4.05736400e-01	1.66448725e+01	9.39424164e-01
4.15715300e-01	1.76611332e+01	9.78754393e-01
4.25694100e-01	1.88013075e+01	1.49616125e+01
4.35673000e-01	1.82688938e+01	1.47739526e+01
4.45651900e-01	1.70563690e+01	1.43669220e+01
4.55630700e-01	1.80430557e+01	9.06478153e-01
4.65609600e-01	1.74446843e+01	1.44595743e+01
4.75588400e-01	1.65265100e+01	1.41270143e+01
4.85567300e-01	1.84304207e+01	1.47197267e+01
4.95546100e-01	1.74168288e+01	1.44134201e+01
5.05525000e-01	1.69090345e+01	8.43193628e-01
5.15503800e-01	1.72462150e+01	8.44592114e-01
5.25482700e-01	1.58165092e+01	8.13721210e-01
5.35461500e-01	1.61602871e+01	8.11941646e-01
5.45440400e-01	1.72244283e+01	8.31223895e-01
5.55419200e-01	1.62648147e+01	7.93210235e-01
5.65398100e-01	1.63135282e+01	8.17608263e-01
5.75376900e-01	1.58023927e+01	7.80323983e-01
5.85355800e-01	1.56979744e+01	7.87304746e-01
5.95334700e-01	1.61059089e+01	7.89679195e-01
6.05313500e-01	1.56277133e+01	7.58776328e-01
6.15292400e-01	1.59332734e+01	7.89750496e-01
6.25271200e-01	1.54033346e+01	7.57183302e-01
6.35250100e-01	1.50075488e+01	7.46193095e-01
6.45228900e-01	1.47453773e+01	7.36184806e-01
6.55207800e-01	1.58475479e+01	7.49890121e-01
6.65186600e-01	1.54988773e+01	7.64708834e-01
6.75165500e-01	1.52117695e+01	7.31126806e-01
6.85144300e-01	1.44305563e+01	7.24355717e-01
6.95123200e-01	1.48018805e+01	7.09745174e-01
7.05102000e-01	1.35411126e+01	6.94785771e-01
7.15080900e-01	1.39068237e+01	6.99657359e-01
7.25059700e-01	1.46360719e+01	1.32156730e+01
7.35038600e-01	1.47064544e+01	1.32625046e+01
7.45017500e-01	1.20467571e+01	1.23292003e+01
7.54996300e-01	1.35646017e+01	6.82444791e-01
7.64975200e-01	1.23172623e+01	6.47852986e-01
7.74954000e-01	1.29604635e+01	6.55922917e-01
7.84932900e-01	1.44067699e+01	6.85432106e-01
7.94911700e-01	1.37419725e+01	6.56346262e-01
8.04890600e-01	1.28736736e+01	6.56527087e-01
8.14869400e-01	1.23500252e+01	6.27931231e-01
8.24848300e-01	1.33872607e+01	6.48304157e-01
8.34827100e-01	1.24915981e+01	6.30655547e-01
8.44806000e-01	1.22738568e+01	6.19476133e-01
8.54784800e-01	1.19815358e+01	6.15807748e-01
8.64763700e-01	1.25842882e+01	6.22966066e-01
8.74742600e-01	1.24433428e+01	6.11668824e-01
8.84721400e-01	1.17499108e+01	6.04787783e-01
8.94700300e-01	1.17606319e+01	5.98200307e-01
9.04679100e-01	1.15523316e+01	5.93027525e-01
9.14658000e-01	1.20223214e+01	5.91267628e-01
9.24636800e-01	9.81225640e+00	5.48262701e-01
9.34615700e-01	1.09507006e+01	5.75421721e-01
9.44594500e-01	1.06578362e+01	5.60955667e-01
9.54573400e-01	1.04689352e+01	5.60348932e-01
9.64552200e-01	1.06199012e+01	5.51884451e-01
9.74531100e-01	1.00960778e+01	5.46372834e-01
9.84509900e-01	9.90789630e+00	1.13750138e+01
9.94488800e-01	1.00410949e+01	1.14418828e+01
1.00446800e+00	9.41026500e+00	5.24814793e-01
1.01444700e+00	9.20714320e+00	1.10954914e+01
1.02442500e+00	8.69655370e+00	1.08967313e+01
1.03440400e+00	9.01609230e+00	1.10378060e+01
1.04438300e+00	1.02944589e+01	5.27354164e-01
1.05436200e+00	9.90764780e+00	5.23570915e-01
1.06434100e+00	8.92867780e+00	4.98547994e-01
1.07432000e+00	9.32698430e+00	5.11703597e-01
1.08429800e+00	7.97849500e+00	4.77810927e-01
1.09427700e+00	8.90908180e+00	4.92489507e-01
1.10425600e+00	8.58271390e+00	4.86755335e-01
1.11423500e+00	9.03771320e+00	1.09935963e+01
1.12421400e+00	8.38008500e+00	1.07512446e+01
1.13419300e+00	7.90065700e+00	4.68433839e-01
1.14417200e+00	7.95227040e+00	4.58440829e-01
1.15415000e+00	7.86606740e+00	4.66422611e-01
1.16412900e+00	7.81195940e+00	4.59396533e-01
1.17410800e+00	7.90403070e+00	4.57853819e-01
1.18408700e+00	7.91653520e+00	4.62170861e-01
1.19406600e+00	6.80406850e+00	4.29755789e-01
1.20404500e+00	7.87469690e+00	4.60566047e-01
1.21402400e+00	7.13625940e+00	4.35141954e-01
1.22400200e+00	6.31813500e+00	4.14287228e-01
1.23398100e+00	6.93152640e+00	4.27081322e-01
1.24396000e+00	6.82068740e+00	4.26472340e-01
1.25393900e+00	7.06150680e+00	4.33929747e-01
1.26391800e+00	6.27521650e+00	4.05771349e-01
1.27389700e+00	6.67323290e+00	4.18893958e-01
1.28387600e+00	6.39134450e+00	9.84150567e+00
1.29385400e+00	6.12107930e+00	9.75859280e+00
1.30383300e+00	5.38875170e+00	3.88660374e-01
1.31381200e+00	6.29755580e+00	3.98974144e-01
1.32379100e+00	5.47232270e+00	3.84355188e-01
1.33377000e+00	6.74828840e+00	4.08582306e-01
1.34374900e+00	4.88977220e+00	3.70014213e-01
1.35372800e+00	5.77396440e+00	3.88759431e-01
1.36370600e+00	5.57859640e+00	3.77208960e-01
1.37368500e+00	5.38257730e+00	3.77211210e-01
1.38366400e+00	5.16287400e+00	3.68642389e-01
1.39364300e+00	6.27943800e+00	3.91186921e-01
1.40362200e+00	5.64861570e+00	3.82381425e-01
1.41360100e+00	4.36811430e+00	8.89564395e+00
1.42357900e+00	5.10107130e+00	9.23057199e+00
1.43355800e+00	5.73668820e+00	3.75078353e-01
1.44353700e+00	4.54241550e+00	3.48842532e-01
1.45351600e+00	4.08094010e+00	3.32812713e-01
1.46349500e+00	4.55146010e+00	3.44753392e-01
1.47347400e+00	3.90288780e+00	3.32246100e-01
1.48345300e+00	4.34597520e+00	3.34055589e-01
1.49343100e+00	4.57583200e+00	3.45732741e-01
1.50341000e+00	4.42275190e+00	3.38056391e-01
1.51338900e+00	3.67750230e+00	3.20246318e-01
1.52336800e+00	4.39896010e+00	3.39015386e-01
1.53334700e+00	3.89077890e+00	3.16860635e-01
1.54332600e+00	4.16956260e+00	8.70326369e+00
1.55330500e+00	3.37526960e+00	8.30015118e+00
1.56328300e+00	3.82438870e+00	3.19516677e-01
1.57326200e+00	3.74967330e+00	3.20303952e-01
1.58324100e+00	3.84040250e+00	3.14096606e-01
1.59322000e+00	3.65529580e+00	3.12882866e-01
1.60319900e+00	3.22612700e+00	3.01008797e-01
1.61317800e+00	3.07125970e+00	2.96095128e-01
1.62315700e+00	3.85644890e+00	3.13625379e-01
1.63313500e+00	3.64202850e+00	3.04039954e-01
1.64311400e+00	2.78654230e+00	2.87503534e-01
1.65309300e+00	3.24905120e+00	2.94876309e-01
1.66307200e+00	3.34176540e+00	2.98051218e-01
1.67305100e+00	3.18478230e+00	2.92517124e-01
1.68303000e+00	2.59631120e+00	2.74877071e-01
1.69300900e+00	2.55749360e+00	2.78538941e-01
1.70298700e+00	2.26721690e+00	2.66231680e-01
1.71296600e+00	2.21414250e+00	2.65556228e-01
1.72294500e+00	2.48479900e+00	2.70798816e-01
