q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_20p0wt_merged_nmA.dat_00001_[nmA(PEG20k_20p0wt_merged.dat_00001_[merged(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT_sub_mult_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_1621_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)]*0.5800)]-PEG_Water_1621_noT_sub_mult.dat_00001_[mult(PEG_Water_1621_noT_sub.dat_00001_[sub(PEG_Water_1621_noT.dat_00001_[]-PEG_PEG20k_20p0wt_1621_dark.dat_00001_[])]*29.0000)])]PEG_PEG20k_20p0wt_300_noT_sub_mult_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT_sub_mult.dat_00001_[mult(PEG_PEG20k_20p0wt_300_noT_sub.dat_00001_[sub(PEG_PEG20k_20p0wt_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])]*0.5000)]-PEG_Water_300_noT_sub.dat_00001_[sub(PEG_Water_300_noT.dat_00001_[]-PEG_PEG20k_20p0wt_300_dark.dat_00001_[])])],scale_low,lq=0.4438,hq=0.7171)])],1,0.0050)	error
4.01205600e-03	-3.41197860e-02	2.48622734e-02
4.22636500e-03	-3.52958323e-02	1.94847661e-02
4.44067400e-03	-4.62376968e-02	1.55315032e-02
4.65498300e-03	-2.73049851e-02	1.40558680e-02
4.86929200e-03	7.86802387e-04	1.12027536e-02
5.08360200e-03	-3.05913449e-03	9.30213493e-03
5.29791100e-03	-1.18137622e-03	8.33666679e-03
5.51222000e-03	1.09878014e-02	7.18565160e-03
5.72652900e-03	6.83748015e-04	6.42026235e-03
5.94083800e-03	7.18144110e-03	5.77877250e-03
6.15514700e-03	-7.55401913e-04	5.57291623e-03
6.36945600e-03	2.85145397e-03	5.01524057e-03
6.58376600e-03	-2.41101098e-03	4.58337862e-03
6.79807500e-03	5.13198396e-03	4.26897835e-03
7.01238400e-03	1.81066017e-03	3.78942266e-03
7.22669300e-03	6.88058465e-04	3.88011110e-03
7.44100200e-03	5.48085784e-04	3.44737792e-03
7.65531100e-03	-3.34282528e-04	3.24630176e-03
7.86962000e-03	7.72388094e-04	3.03360257e-03
8.08393000e-03	5.74732557e-03	2.89176527e-03
8.29823900e-03	5.66972720e-03	2.68899857e-03
8.51254800e-03	4.86411245e-03	2.55777077e-03
8.72685700e-03	5.37764605e-03	9.61679594e-03
8.94116600e-03	4.75979516e-03	1.13713654e-01
9.15547500e-03	5.81439291e-03	9.15491045e-03
9.36978400e-03	3.04297740e-03	3.63559066e-03
9.58409400e-03	5.85338813e-03	2.00972751e-03
9.79840300e-03	5.47486146e-03	2.00935952e-03
1.00127100e-02	6.73514338e-03	1.86587333e-03
1.02270200e-02	5.85903915e-03	1.86494839e-03
1.04413300e-02	3.46647675e-03	1.74028023e-03
1.06556400e-02	8.86958007e-04	1.70108274e-03
1.08699500e-02	1.12093257e-03	1.64491019e-03
1.10842600e-02	3.44896719e-03	1.59966931e-03
1.12985700e-02	3.13545827e-03	1.55107806e-03
1.15128800e-02	1.29597206e-03	1.51091632e-03
1.17271900e-02	2.66043675e-03	1.46850009e-03
1.19414900e-02	2.28423391e-03	1.37917311e-03
1.21558000e-02	1.82472928e-03	1.38644675e-03
1.23701100e-02	2.70580180e-03	1.29956653e-03
1.25844200e-02	1.13407494e-03	1.33224379e-03
1.27987300e-02	2.78276795e-03	5.67177398e-02
1.30130400e-02	3.31598417e-03	1.22378348e-03
1.32273500e-02	1.85690918e-03	1.17857546e-03
1.34416600e-02	1.15809272e-03	1.12249004e-03
1.36559700e-02	1.03240985e-03	1.17593095e-03
1.38702800e-02	3.17680589e-03	6.64743223e-02
1.40845900e-02	7.68197899e-04	3.27663007e-03
1.42988900e-02	3.68431900e-03	1.04003073e-03
1.45132000e-02	1.93392313e-03	1.03282954e-03
1.47275100e-02	2.41008913e-03	1.02517374e-03
1.49418200e-02	3.14339915e-03	9.74725862e-04
1.51561300e-02	2.13950003e-03	9.90617444e-04
1.53704400e-02	1.60081294e-03	9.76966540e-04
1.55847500e-02	2.70696387e-03	9.40498136e-04
1.57990600e-02	2.99436432e-03	9.25333475e-04
1.60133700e-02	6.08421141e-04	9.36818005e-04
1.62276800e-02	2.53435480e-03	8.70892690e-04
1.64419900e-02	1.26258919e-03	9.22890623e-04
1.66563000e-02	2.92364575e-03	8.46093277e-04
1.68706000e-02	1.79286483e-03	8.50006015e-04
1.70849100e-02	2.82968556e-03	8.12394674e-04
1.72992200e-02	2.70347979e-03	8.07920448e-04
1.75135300e-02	2.41413344e-03	7.91433579e-04
1.77278400e-02	2.05360431e-03	7.74642049e-04
1.79421500e-02	2.03647690e-03	7.88881555e-04
1.81564600e-02	1.69050371e-03	7.85161921e-04
1.83707700e-02	2.18420652e-03	7.47707618e-04
1.85850800e-02	1.78384902e-03	7.57091134e-04
