q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,PEG20k_5wt_700_sub_nmA.dat_00001_[nmA(PEG20k_5wt_700_sub.dat_00001_[sub(PEG20k_5wt_700.dat_00001_[]-Water_700.dat_00001_[])])],1,0.0050)	error
1.09159800e-02	1.68745000e-03	3.20813027e-03
1.14153100e-02	2.85810000e-03	2.27381162e-03
1.19146500e-02	9.07690000e-04	1.89438968e-03
1.24139800e-02	2.38425000e-03	1.24517110e-03
1.29133100e-02	4.38030000e-04	4.01022555e-01
1.34126400e-02	2.68072000e-03	3.85952157e-01
1.39119800e-02	2.70859000e-03	3.86013496e-01
1.44113100e-02	3.39232000e-03	3.73728496e-01
1.49106400e-02	2.86618000e-03	5.97138595e-04
1.54099800e-02	3.50371000e-03	5.69515376e-04
1.59093100e-02	3.74917000e-03	5.24508492e-04
1.64086400e-02	3.18701000e-03	5.12252329e-04
1.69079800e-02	2.45824000e-03	4.74739440e-04
1.74073100e-02	1.90151000e-03	4.37634007e-04
1.79066400e-02	2.22399000e-03	4.17151995e-04
1.84059700e-02	2.34117000e-03	4.10997126e-04
1.89053100e-02	2.39022400e-03	3.84032565e-04
1.94046400e-02	3.23461200e-03	3.60553545e-04
1.99039700e-02	1.92354900e-03	3.60334220e-04
2.04033100e-02	2.28315300e-03	3.39774092e-04
2.09026400e-02	2.09903700e-03	2.33846739e-01
2.14019700e-02	2.49502200e-03	2.27668149e-01
2.19013000e-02	2.00042600e-03	2.97315023e-04
2.24006400e-02	2.23068000e-03	2.94220962e-04
2.28999700e-02	2.21418900e-03	2.80194541e-04
2.33993000e-02	2.13289500e-03	2.73358357e-04
2.38986400e-02	2.25121300e-03	2.05385911e-01
2.43979700e-02	2.07247600e-03	2.04663226e-01
2.48973000e-02	1.75280500e-03	1.97904054e-01
2.53966300e-02	1.62026800e-03	1.94533018e-01
2.58959700e-02	1.76738700e-03	1.91703223e-01
2.63953000e-02	2.07712000e-03	1.91324337e-01
2.68946300e-02	1.78158500e-03	2.33431578e-04
2.73939700e-02	2.26470400e-03	2.26148446e-04
2.78933000e-02	1.63559700e-03	2.16054348e-04
2.83926300e-02	1.85524300e-03	2.15600380e-04
2.88919600e-02	2.04117700e-03	2.15976034e-04
2.93913000e-02	2.13590500e-03	2.10928907e-04
2.98906300e-02	1.99152000e-03	2.09603298e-04
3.03899600e-02	1.89523300e-03	2.04091619e-04
3.08893000e-02	1.89932100e-03	2.04225127e-04
3.13886300e-02	1.46212300e-03	1.97120956e-04
3.18879600e-02	1.76173700e-03	1.99145097e-04
3.23873000e-02	1.93751400e-03	1.92464843e-04
3.28866300e-02	1.75642600e-03	1.83153901e-04
3.33859600e-02	1.78884100e-03	1.85944731e-04
3.38852900e-02	1.57309600e-03	1.82835356e-04
3.43846300e-02	1.73047100e-03	1.81764217e-04
3.48839600e-02	1.70622600e-03	1.71265666e-04
3.53832900e-02	1.52921400e-03	1.75278305e-04
3.58826300e-02	1.71739900e-03	1.49065857e-01
3.63819600e-02	1.92362000e-03	1.51793692e-01
3.68812900e-02	1.71242800e-03	1.72065653e-04
3.73806200e-02	1.59431200e-03	1.65637733e-04
3.78799600e-02	1.70113800e-03	1.64001668e-04
3.83792900e-02	1.57186000e-03	1.62534404e-04
3.88786200e-02	1.76221100e-03	1.65708676e-04
3.93779600e-02	1.77742900e-03	1.61695622e-04
3.98772900e-02	1.55243200e-03	1.60179745e-04
4.03766200e-02	1.58424300e-03	1.56893987e-04
4.08759500e-02	1.79146200e-03	1.58590987e-04
4.13752900e-02	1.60249500e-03	1.54379166e-04
4.18746200e-02	1.43384600e-03	1.53964840e-04
4.23739500e-02	1.39027800e-03	1.50225585e-04
4.28732900e-02	1.73062300e-03	1.49455581e-04
4.33726200e-02	1.34818200e-03	1.46752595e-04
4.38719500e-02	1.70045600e-03	1.52377794e-04
4.43712800e-02	1.54493900e-03	1.47276804e-04
4.48706200e-02	1.32905800e-03	1.44133875e-04
4.53699500e-02	1.53744500e-03	1.40530992e-04
4.58692800e-02	1.85032400e-03	1.46081480e-04
4.63686200e-02	1.45287700e-03	1.41366884e-04
4.68679500e-02	1.48420500e-03	1.42978808e-04
4.73672800e-02	1.47211000e-03	1.38900228e-04
4.78666100e-02	1.54049000e-03	1.36314219e-04
4.83659500e-02	1.56830400e-03	1.36255898e-04
4.88652800e-02	1.46980200e-03	1.32050772e-01
4.93646100e-02	1.42195200e-03	1.26864491e-01
4.98639500e-02	1.52471700e-03	1.33960685e-04
5.03632800e-02	1.45298400e-03	1.30052082e-01
5.08626100e-02	1.46894700e-03	1.30540607e-01
5.13619500e-02	1.35397600e-03	1.33245827e-04
5.18612800e-02	1.38052400e-03	1.30625116e-04
5.23606100e-02	1.37052900e-03	1.26652414e-04
5.28599400e-02	1.39160000e-03	1.27291487e-04
5.33592800e-02	1.06456800e-03	1.26909390e-04
5.38586100e-02	1.27274800e-03	1.28962447e-04
5.43579400e-02	1.17624500e-03	1.26310312e-04
5.48572800e-02	1.31131700e-03	1.23750849e-04
5.53566100e-02	1.42634000e-03	1.22983151e-01
5.58559400e-02	1.29372500e-03	1.26425534e-04
5.63552700e-02	1.29615800e-03	1.21115399e-04
5.68546100e-02	1.32881200e-03	1.24026317e-04
5.73539400e-02	1.26199600e-03	1.19561389e-04
5.78532700e-02	1.20103800e-03	1.18928165e-04
5.83526100e-02	1.22112000e-03	7.53669204e-02
5.88519400e-02	1.16953700e-03	7.73195684e-02
5.93512700e-02	1.40481500e-03	1.19619329e-04
5.98506000e-02	1.17709600e-03	1.15449648e-04
6.03499400e-02	1.29831600e-03	1.16436421e-04
6.08492700e-02	1.21322100e-03	1.17215284e-04
6.13486000e-02	1.30410900e-03	1.16181759e-04
6.18479400e-02	1.27132300e-03	1.16107949e-04
6.23472700e-02	1.11080600e-03	1.12823597e-04
6.28466000e-02	1.09090300e-03	1.11535649e-04
6.33459300e-02	1.19857200e-03	1.19871326e-01
6.38452700e-02	9.43942000e-04	1.20521436e-01
6.48439300e-02	1.09928867e-03	3.95122601e-02
6.63419300e-02	1.08754333e-03	6.37119791e-05
6.78399300e-02	1.10012733e-03	6.24946739e-05
6.93379300e-02	1.08239633e-03	6.12698866e-05
7.08359300e-02	9.99975000e-04	5.46255252e-02
7.23339300e-02	1.06955400e-03	5.90734822e-05
7.38319300e-02	1.02714133e-03	5.84887457e-05
7.53299200e-02	1.02445667e-03	5.77905128e-05
7.68279200e-02	9.23869333e-04	5.34671966e-02
7.83259200e-02	9.29506000e-04	5.53876524e-05
7.98239200e-02	8.79779333e-04	4.07579885e-02
8.13219200e-02	8.77007000e-04	5.43283026e-05
8.28199200e-02	8.85670333e-04	5.38761346e-05
8.43179200e-02	7.89481667e-04	5.34734621e-05
8.58159200e-02	9.04929333e-04	5.32374568e-05
8.78132500e-02	8.55439600e-04	3.97049530e-05
9.03099100e-02	7.58611000e-04	4.00975313e-05
9.28065800e-02	7.37503800e-04	4.33666247e-02
9.53032400e-02	7.74483000e-04	3.10042155e-02
9.77999100e-02	7.81317600e-04	3.77993247e-05
1.00296600e-01	7.74906400e-04	3.71432376e-05
1.02793200e-01	7.11256600e-04	3.65713330e-05
1.05289900e-01	6.83055200e-04	3.56530385e-05
1.07786600e-01	6.42671800e-04	4.20948796e-02
1.10283200e-01	6.32299200e-04	4.26485313e-02
1.12779900e-01	5.91138800e-04	3.73060055e-02
1.15276600e-01	6.21241200e-04	4.18276005e-02
1.17773200e-01	6.63832200e-04	4.60197268e-02
1.20269900e-01	5.15583000e-04	4.61349519e-02
1.22766600e-01	6.21968200e-04	2.80278532e-02
1.25263200e-01	5.54075600e-04	3.53178896e-02
1.27759900e-01	5.94303200e-04	2.58646897e-02
1.30755900e-01	5.19408571e-04	3.80817626e-02
1.34251200e-01	4.82478286e-04	3.23274989e-02
1.37746500e-01	5.04898286e-04	2.94509684e-02
1.41241900e-01	4.44352571e-04	2.14298901e-02
1.44737200e-01	4.92153571e-04	2.68912563e-02
1.48232500e-01	4.52778857e-04	3.50733903e-02
1.51727900e-01	3.91665857e-04	3.22398162e-02
1.55223200e-01	4.56006143e-04	2.27449783e-02
1.58718500e-01	3.90254286e-04	3.70580942e-02
1.62213800e-01	4.04617429e-04	2.34200358e-02
1.65709200e-01	4.35046857e-04	2.74586418e-02
1.69204500e-01	4.04994857e-04	3.38025488e-02
1.72699800e-01	3.70399429e-04	2.50623455e-02
1.76694500e-01	3.95561667e-04	1.48853663e-02
1.81188500e-01	3.70779222e-04	2.02944453e-02
1.85682500e-01	3.12884889e-04	2.06143956e-02
1.90176500e-01	3.53745556e-04	3.03742269e-02
1.94670500e-01	2.96697111e-04	1.55425800e-02
1.99164500e-01	3.19808000e-04	2.88263075e-02
2.03658500e-01	3.23304333e-04	2.92169315e-02
2.08152500e-01	3.29028667e-04	2.87792599e-02
2.12646500e-01	3.38019667e-04	2.40644718e-02
2.17639800e-01	3.16046455e-04	2.45338364e-02
2.23132500e-01	3.00764818e-04	1.95622495e-02
2.28625100e-01	3.10723000e-04	1.93014309e-02
2.34117800e-01	2.46878364e-04	1.51733409e-02
2.39610400e-01	2.94008727e-04	2.27626276e-02
2.45103100e-01	2.74400545e-04	1.43774720e-02
2.50595800e-01	2.76134909e-04	1.10615942e-02
2.56088400e-01	2.38667182e-04	2.73563127e-02
2.62080400e-01	2.38484308e-04	2.61703562e-02
2.68571800e-01	2.55445154e-04	2.63240337e-02
2.75063100e-01	2.31421538e-04	2.61515387e-02
2.81554400e-01	2.47519538e-04	2.62012542e-02
2.88045700e-01	2.64991077e-04	2.62375770e-02
2.94537100e-01	2.12944923e-04	2.62607407e-02
3.01028400e-01	2.35339615e-04	2.62973522e-02
3.08019100e-01	2.46094067e-04	2.43307594e-02
3.15509100e-01	2.37040667e-04	2.44669177e-02
3.22999000e-01	2.41329800e-04	2.43850955e-02
3.30489000e-01	2.34766467e-04	2.43510494e-02
3.37979000e-01	2.20911133e-04	2.44739837e-02
3.45469000e-01	2.39763200e-04	2.44665323e-02
3.53458400e-01	2.33235000e-04	2.30337820e-02
3.61947000e-01	2.40295588e-04	2.30043840e-02
3.70435700e-01	2.33245529e-04	2.15505625e-02
3.78924300e-01	2.17530059e-04	1.63108480e-02
3.87413000e-01	2.29832824e-04	1.98028606e-02
3.96401000e-01	2.30631947e-04	1.65858046e-02
4.05888300e-01	1.96709316e-04	1.82616144e-02
4.15375600e-01	2.26145474e-04	1.78763600e-02
4.24863000e-01	2.11769368e-04	1.94623359e-02
4.34849600e-01	2.26946762e-04	1.77090635e-02
4.45335600e-01	2.02558381e-04	1.70925704e-02
4.55821600e-01	2.09873286e-04	1.29674737e-02
4.66307600e-01	1.96024286e-04	1.30757644e-02
4.77292900e-01	2.24592870e-04	1.26088995e-02
4.88777600e-01	2.18353478e-04	1.61674453e-02
